New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
cartevi01,39:20,8,20,.400,3,4,.750,0,0,,0,4,4,1,0,0,3,6,19,-11
harride01,37:41,7,16,.438,1,2,.500,12,13,.923,0,7,7,8,1,0,2,1,27,-9
hassetr01,33:19,2,2,1.000,0,0,,0,0,,0,3,3,0,0,0,1,2,4,-3
lopezbr01,32:35,9,12,.750,0,0,,4,4,1.000,4,2,6,3,1,0,1,6,22,-11
jianlyi01,24:57,0,5,.000,0,0,,1,2,.500,1,5,6,1,2,1,1,1,1,+3
simmobo01,21:28,4,5,.800,4,4,1.000,2,2,1.000,0,2,2,0,0,0,1,4,14,-3
doolike01,19:43,0,8,.000,0,3,.000,0,0,,0,0,0,2,0,1,0,1,0,-14
hayesja01,16:32,3,5,.600,0,1,.000,0,0,,1,0,1,1,0,0,0,3,6,-1
willise01,12:46,3,5,.600,0,0,,1,2,.500,2,1,3,2,1,1,1,5,7,+7
boonejo01,1:39,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Team Totals,240,36,78,.462,8,14,.571,20,23,.870,8,24,32,18,5,3,10,29,100,
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
roybr01,44:36,8,21,.381,0,2,.000,15,17,.882,1,1,2,3,2,0,0,1,31,+13
aldrila01,41:07,4,12,.333,0,0,,11,12,.917,7,3,10,3,1,0,1,2,19,+7
blakest01,39:40,5,8,.625,3,5,.600,2,2,1.000,0,3,3,5,0,0,4,3,15,+12
batumni01,32:21,7,8,.875,2,2,1.000,4,4,1.000,0,4,4,2,1,2,1,5,20,+21
przybjo01,27:53,0,1,.000,0,0,,3,4,.750,1,2,3,0,0,5,1,4,3,0
outlatr01,29:57,4,10,.400,1,2,.500,4,6,.667,2,8,10,1,1,2,0,2,13,+12
bayleje01,11:15,0,2,.000,0,0,,0,0,,0,1,1,2,0,0,1,2,0,-5
fryech01,7:46,3,8,.375,0,1,.000,0,0,,1,2,3,0,0,1,0,1,6,-9
rodrise01,5:25,1,1,1.000,0,0,,0,0,,1,0,1,2,0,0,1,1,2,-6
Team Totals,240,32,71,.451,6,12,.500,39,45,.867,13,24,37,18,5,10,9,21,109,
