Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamisan01,40:37,10,24,.417,0,3,.000,4,7,.571,5,6,11,7,1,0,1,3,24,-16
jamesmi01,36:31,5,12,.417,1,5,.200,2,2,1.000,1,1,2,5,2,0,3,1,13,-16
mcguido01,29:07,4,6,.667,0,0,,0,0,,1,4,5,5,1,0,1,2,8,+20
songada01,28:26,7,14,.500,0,0,,0,0,,2,4,6,3,5,0,2,3,14,-1
blatcan01,26:47,5,9,.556,0,0,,4,5,.800,1,3,4,2,0,2,2,4,14,-19
youngni01,30:48,7,11,.636,1,2,.500,3,4,.750,0,0,0,2,1,0,0,2,18,-31
crittja01,23:15,2,2,1.000,0,0,,0,1,.000,0,3,3,0,1,0,1,2,4,-21
mcgeeja01,20:13,6,9,.667,0,0,,1,3,.333,3,1,4,2,0,2,0,1,13,+7
dixonju01,3:33,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,+5
pecheol01,0:43,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,-3
Team Totals,240,46,87,.529,2,10,.200,14,22,.636,13,23,36,27,11,5,10,18,108,
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
thornal01,42:03,9,12,.750,0,0,,4,5,.800,2,4,6,1,3,0,0,4,22,+15
gordoer01,40:41,9,17,.529,4,8,.500,4,5,.800,0,1,1,6,3,1,1,1,26,+15
davisba01,39:15,4,10,.400,2,3,.667,1,2,.500,2,6,8,20,0,1,3,2,11,+23
randoza01,30:27,5,12,.417,0,1,.000,1,2,.500,1,7,8,1,1,0,2,3,11,+9
jordade01,5:08,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,1,0,0,-5
jonesfr01,27:49,4,6,.667,3,4,.750,0,0,,1,2,3,3,2,0,0,3,11,+18
novakst01,26:03,7,11,.636,6,10,.600,1,1,1.000,0,2,2,1,0,2,1,2,21,+8
kamanch01,21:28,9,10,.900,0,0,,1,2,.500,2,4,6,3,0,0,6,2,19,0
taylomi01,7:06,0,1,.000,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,2,-8
Team Totals,240,47,80,.588,15,26,.577,14,19,.737,8,29,37,36,9,4,15,17,123,
