Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
foyera01,30:50,7,10,.700,4,5,.800,1,4,.250,0,4,4,2,1,0,2,3,19,-15
gomesry01,25:46,2,8,.250,0,1,.000,2,2,1.000,0,0,0,0,1,0,1,0,6,-7
millemi01,24:25,2,4,.500,1,1,1.000,0,0,,0,9,9,1,0,0,4,1,5,-7
loveke01,23:09,6,11,.545,0,0,,5,5,1.000,4,2,6,0,0,0,1,0,17,-3
telfase01,19:25,1,7,.143,0,1,.000,0,0,,0,0,0,4,0,0,0,0,2,-8
carnero01,30:31,5,11,.455,2,6,.333,1,2,.500,0,1,1,1,0,1,1,2,13,-14
cardibr01,22:14,2,5,.400,1,2,.500,2,2,1.000,4,2,6,2,0,0,1,3,7,-5
smithcr01,20:57,4,7,.571,0,0,,1,4,.250,4,3,7,1,1,0,1,2,9,-3
ollieke01,19:52,1,3,.333,0,0,,6,6,1.000,0,2,2,4,0,0,1,1,8,+4
brownbo02,18:57,3,7,.429,3,5,.600,2,2,1.000,0,0,0,0,0,0,0,0,11,+4
willish02,3:54,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-6
Team Totals,240,33,75,.440,11,21,.524,20,27,.741,12,23,35,15,3,1,12,13,97,
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
johnsjo02,36:05,9,22,.409,1,4,.250,1,1,1.000,2,6,8,2,3,1,1,1,20,+17
bibbymi01,35:49,9,13,.692,1,1,1.000,1,1,1.000,0,5,5,9,1,0,2,1,20,+21
smithjo03,30:09,3,5,.600,0,0,,3,4,.750,0,1,1,4,3,2,1,3,9,+12
evansma01,27:37,4,10,.400,2,7,.286,0,0,,1,0,1,1,1,0,0,1,10,+5
horfoal01,26:58,6,11,.545,0,0,,0,0,,3,10,13,1,0,1,2,5,12,+3
murraro01,32:28,12,18,.667,5,8,.625,1,3,.333,1,1,2,5,1,0,1,2,30,+22
pachuza01,22:08,3,4,.750,0,1,.000,0,0,,2,8,10,2,0,0,2,2,6,+19
westma02,16:11,0,0,,0,0,,2,2,1.000,2,0,2,0,0,0,0,1,2,-2
jonesso01,7:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,1,0,3,0,-10
hunteot01,2:07,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0,-10
gardnth01,2:07,0,2,.000,0,2,.000,0,0,,0,0,0,0,0,0,0,0,0,-10
morrira01,1:21,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-7
Team Totals,240,46,87,.529,9,23,.391,8,11,.727,11,31,42,24,9,5,9,20,109,
