Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
iguodan01,46:07,8,18,.444,2,4,.500,7,8,.875,2,7,9,9,1,0,4,5,25,-7
youngth01,40:06,7,16,.438,1,1,1.000,2,4,.500,1,5,6,0,2,0,3,3,17,-10
holidjr01,34:21,4,13,.308,0,3,.000,2,4,.500,1,2,3,6,0,0,4,5,10,-7
dalemsa01,27:33,2,8,.250,0,0,,0,0,,4,5,9,2,1,1,1,3,4,-5
smithja02,24:22,3,4,.750,2,2,1.000,0,0,,2,4,6,2,0,1,1,4,8,-13
kaponja01,29:06,8,11,.727,4,6,.667,0,2,.000,0,1,1,1,0,0,0,2,20,+2
greenwi01,13:38,5,7,.714,2,2,1.000,6,6,1.000,0,1,1,4,0,0,1,2,18,+4
carnero01,9:51,1,1,1.000,1,1,1.000,2,2,1.000,0,0,0,1,0,0,0,0,5,+6
brezepr01,9:27,0,3,.000,0,0,,0,0,,2,2,4,0,0,0,0,4,0,+11
iveyro01,5:29,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,3,+4
Team Totals,240,39,82,.476,13,20,.650,19,26,.731,12,27,39,26,4,2,14,30,110,
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
piercpa01,42:43,10,15,.667,3,7,.429,4,4,1.000,0,6,6,6,1,1,0,4,27,+10
rondora01,37:15,5,9,.556,0,1,.000,0,0,,0,4,4,7,2,0,3,5,10,+10
allenra02,32:26,6,14,.429,1,6,.167,5,5,1.000,1,4,5,2,1,0,0,2,18,-4
garneke01,30:36,5,9,.556,0,0,,9,12,.750,1,3,4,4,0,0,3,1,19,+2
perkike01,22:39,4,7,.571,0,0,,4,6,.667,5,3,8,1,1,1,2,4,12,+9
houseed01,22:16,4,9,.444,1,5,.200,4,4,1.000,0,1,1,1,0,0,0,1,13,+8
wallara01,21:25,2,7,.286,2,6,.333,2,4,.500,1,3,4,0,0,0,2,3,8,-1
daniema01,20:59,2,7,.286,0,2,.000,1,2,.500,1,0,1,2,0,1,2,2,5,-3
willish02,5:54,0,1,.000,0,0,,1,2,.500,2,2,4,0,0,0,0,0,1,-6
scalabr01,3:27,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-7
hudsole01,0:21,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-3
Team Totals,240,38,78,.487,7,27,.259,30,39,.769,11,26,37,23,6,3,12,22,113,
