Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
horfoal01,40:52,5,10,.500,0,0,,5,6,.833,1,7,8,3,0,2,5,2,15,+15
bibbymi01,36:45,8,14,.571,5,7,.714,0,0,,0,4,4,5,0,0,1,1,21,+8
smithjo03,34:04,9,18,.500,0,0,,2,5,.400,3,3,6,1,2,3,2,1,20,+9
willima02,30:31,1,4,.250,0,1,.000,2,2,1.000,0,9,9,0,2,0,1,2,4,+4
johnsjo02,29:45,3,8,.375,1,2,.500,2,2,1.000,2,2,4,2,2,0,4,5,9,+3
crawfja01,32:43,9,14,.643,3,6,.500,3,3,1.000,2,2,4,5,1,0,0,2,24,+11
smithjo02,14:26,1,1,1.000,0,0,,0,0,,0,5,5,0,0,0,0,1,2,+12
evansma01,11:14,0,2,.000,0,1,.000,1,2,.500,0,1,1,1,0,0,0,2,1,+11
teaguje01,5:13,2,3,.667,0,1,.000,0,0,,0,1,1,0,0,0,0,0,4,+2
pachuza01,4:27,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,1,0,-5
Team Totals,240,38,74,.514,9,18,.500,15,20,.750,8,34,42,17,7,5,14,17,100,
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
youngth01,42:58,9,13,.692,3,3,1.000,1,2,.500,0,2,2,1,0,0,0,1,22,-9
dalemsa01,40:16,2,4,.500,0,0,,0,1,.000,2,6,8,3,0,6,3,2,4,-10
iguodan01,39:46,7,18,.389,1,4,.250,1,2,.500,0,9,9,8,2,2,6,1,16,-12
smithja02,27:45,7,13,.538,0,3,.000,0,0,,1,4,5,0,1,2,0,4,14,-11
holidjr01,24:57,1,8,.125,0,1,.000,0,0,,1,0,1,5,2,0,0,4,2,-12
carnero01,25:30,3,8,.375,1,3,.333,6,6,1.000,1,3,4,3,2,0,0,0,13,-8
kaponja01,25:26,3,6,.500,2,2,1.000,0,0,,0,2,2,0,1,0,3,3,8,-2
greenwi01,13:22,3,8,.375,1,2,.500,0,0,,1,0,1,3,0,0,1,1,7,-6
Team Totals,240,35,78,.449,8,18,.444,8,11,.727,6,26,32,23,8,10,13,16,86,
