Washington Wizards
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jamisan01,28:38,7,15,.467,1,4,.250,0,0,,1,3,4,0,0,0,0,1,15,-23
butleca01,28:24,4,9,.444,1,2,.500,1,2,.500,1,3,4,3,1,0,3,3,10,-18
haywobr01,26:21,1,2,.500,0,0,,1,3,.333,2,4,6,1,0,3,1,1,3,-17
arenagi01,24:17,6,21,.286,3,5,.600,7,8,.875,1,3,4,3,2,1,2,4,22,-21
stevede01,11:36,0,4,.000,0,2,.000,0,0,,0,1,1,0,0,0,1,2,0,-8
youngni01,27:55,6,9,.667,2,3,.667,6,6,1.000,0,5,5,1,0,1,0,4,20,-15
blatcan01,21:52,3,9,.333,0,0,,1,1,1.000,5,4,9,0,0,1,3,4,7,-7
foyera01,19:20,3,7,.429,1,4,.250,6,6,1.000,0,1,1,4,0,0,1,3,13,-3
mcgeeja01,19:06,1,5,.200,0,0,,0,2,.000,1,2,3,0,1,2,0,0,2,-5
mcguido01,18:29,1,3,.333,0,0,,0,0,,2,2,4,0,0,0,1,1,2,-2
boykiea01,14:02,0,4,.000,0,1,.000,1,1,1.000,0,0,0,2,0,0,0,0,1,-11
Team Totals,240,32,88,.364,8,21,.381,23,29,.793,13,28,41,14,4,8,12,23,95,
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
stoudam01,31:52,9,17,.529,0,0,,5,5,1.000,5,9,14,1,0,0,2,3,23,+28
nashst01,29:37,6,12,.500,0,2,.000,3,3,1.000,1,6,7,15,0,0,3,1,15,+25
fryech01,27:10,5,11,.455,3,7,.429,1,2,.500,1,6,7,1,0,0,1,2,14,+19
richaja01,25:25,10,18,.556,1,4,.250,1,1,1.000,1,5,6,2,1,0,1,1,22,+23
hillgr01,24:54,4,4,1.000,0,0,,0,2,.000,0,2,2,2,0,0,0,1,8,+19
amundlo01,24:59,4,7,.571,0,0,,0,0,,0,5,5,0,0,2,1,4,8,+9
dragigo01,22:35,4,7,.571,1,2,.500,3,4,.750,2,2,4,3,1,0,1,3,12,+3
dudleja01,20:30,2,5,.400,2,3,.667,0,0,,1,2,3,0,1,0,0,1,6,+16
tuckeal02,12:00,2,6,.333,0,2,.000,3,4,.750,1,0,1,0,0,0,1,1,7,-4
lopezro01,12:00,2,4,.500,0,0,,1,2,.500,1,2,3,0,1,0,2,2,5,-4
clarkea01,8:59,0,2,.000,0,0,,1,2,.500,0,1,1,1,0,0,0,0,1,-4
Team Totals,240,48,93,.516,7,20,.350,18,25,.720,13,40,53,25,4,2,12,19,121,
