Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
battish01,39:05,2,8,.250,2,7,.286,1,2,.500,1,3,4,2,2,0,2,5,7,-17
brookaa01,38:12,7,16,.438,1,6,.167,3,4,.750,0,3,3,3,3,0,5,5,18,-13
arizatr01,37:47,5,14,.357,1,5,.200,1,1,1.000,1,2,3,8,1,0,2,1,12,-2
scolalu01,33:59,7,14,.500,0,0,,1,3,.333,1,3,4,2,0,1,3,3,15,-7
hayesch01,16:40,1,2,.500,0,0,,0,0,,2,2,4,1,2,0,0,1,2,-12
landrca01,30:32,7,11,.636,0,0,,5,6,.833,1,5,6,1,1,1,1,3,19,+5
lowryky01,19:36,1,3,.333,0,1,.000,0,2,.000,2,7,9,5,0,0,2,2,2,-3
anderda03,14:49,1,6,.167,0,3,.000,0,0,,0,2,2,0,0,1,0,1,2,-4
budinch01,9:20,0,3,.000,0,1,.000,2,2,1.000,0,1,1,0,0,0,0,0,2,+8
Team Totals,240,31,77,.403,4,23,.174,13,20,.650,8,28,36,22,9,3,15,21,79,
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bryanko01,42:55,9,23,.391,1,1,1.000,3,4,.750,0,3,3,3,1,1,4,4,22,+14
odomla01,39:04,7,10,.700,0,1,.000,3,3,1.000,5,14,19,9,0,1,1,3,17,+5
bynuman01,38:10,10,16,.625,0,0,,4,7,.571,3,5,8,1,2,1,3,4,24,+16
artesro01,32:50,3,11,.273,1,3,.333,0,0,,3,4,7,0,1,1,4,3,7,+5
fishede01,25:40,1,4,.250,0,2,.000,2,2,1.000,0,2,2,2,0,0,0,1,4,+19
farmajo01,20:02,4,8,.500,0,2,.000,0,0,,0,1,1,3,0,1,2,4,8,-12
brownsh01,15:52,1,2,.500,0,0,,0,0,,0,2,2,0,1,0,1,1,2,+4
poweljo01,15:28,1,4,.250,0,0,,2,2,1.000,0,3,3,2,0,0,3,2,4,-3
vujacsa01,6:41,0,1,.000,0,1,.000,0,0,,2,3,5,0,1,0,0,2,0,-3
mbengdj01,3:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,2,1,0,0
Team Totals,240,36,79,.456,2,10,.200,14,18,.778,13,37,50,20,6,5,20,25,88,
