Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
curryst01,43:27,7,17,.412,3,8,.375,1,1,1.000,0,2,2,8,2,0,3,5,18,+1
watsocj01,40:27,9,15,.600,1,4,.250,1,2,.500,0,2,2,0,6,0,1,5,20,-4
morroan01,40:19,10,22,.455,2,10,.200,2,3,.667,2,5,7,0,0,0,2,2,24,-11
tollian01,31:44,3,8,.375,1,4,.250,3,4,.750,0,8,8,2,0,1,1,5,10,-3
turiaro01,28:17,7,8,.875,0,0,,1,5,.200,2,5,7,3,2,1,3,4,15,-5
willire02,19:51,4,7,.571,2,2,1.000,0,0,,0,5,5,5,0,0,1,1,10,+2
huntech01,19:39,4,6,.667,0,0,,1,2,.500,1,1,2,2,0,0,0,4,9,+1
georgde01,16:16,0,3,.000,0,3,.000,0,0,,0,2,2,2,0,0,1,1,0,-1
Team Totals,240,44,86,.512,9,31,.290,9,17,.529,5,30,35,22,10,2,12,27,106,
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
onealje01,38:54,4,10,.400,0,0,,6,9,.667,4,8,12,3,0,0,3,3,14,+2
wadedw01,36:40,15,23,.652,0,2,.000,5,8,.625,1,5,6,12,4,0,3,2,35,+12
richaqu01,35:02,6,8,.750,2,3,.667,1,2,.500,2,5,7,1,2,0,2,3,15,+12
beaslmi01,21:28,6,14,.429,1,2,.500,2,4,.500,0,5,5,0,0,1,2,2,15,+6
alstora01,6:41,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,2,0,0,-2
arroyca01,33:48,6,12,.500,0,2,.000,2,2,1.000,1,4,5,5,2,0,0,1,14,+6
hasleud01,26:32,2,7,.286,0,0,,2,2,1.000,2,7,9,0,0,1,1,4,6,-2
chalmma01,17:13,2,4,.500,2,4,.500,1,2,.500,0,1,1,1,0,0,2,0,7,-9
wrighdo01,14:40,1,5,.200,0,1,.000,0,0,,1,2,3,1,0,0,0,3,2,-7
anthojo01,9:02,0,0,,0,0,,2,2,1.000,0,1,1,0,0,1,0,0,2,+2
Team Totals,240,42,85,.494,5,14,.357,21,31,.677,11,39,50,23,8,3,15,18,110,
