Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bryanko01,39:54,9,18,.500,2,4,.500,9,11,.818,1,2,3,4,2,0,9,2,29,+8
artesro01,37:35,5,8,.625,2,5,.400,0,0,,0,6,6,5,0,1,0,0,12,+3
gasolpa01,35:16,10,13,.769,0,0,,6,10,.600,2,7,9,4,1,1,1,3,26,+2
fishede01,33:13,3,5,.600,0,2,.000,3,3,1.000,1,5,6,5,1,0,1,3,9,+6
bynuman01,30:10,6,11,.545,0,0,,7,8,.875,7,7,14,1,0,3,8,3,19,+8
odomla01,30:29,7,9,.778,1,2,.500,2,2,1.000,3,9,12,1,0,1,2,2,17,-3
brownsh01,19:15,2,8,.250,1,5,.200,4,5,.800,0,5,5,2,0,2,2,0,9,-4
farmajo01,8:18,0,2,.000,0,1,.000,2,2,1.000,0,0,0,2,0,0,0,0,2,0
vujacsa01,5:52,0,1,.000,0,1,.000,1,1,1.000,0,1,1,1,0,0,1,1,1,-5
Team Totals,240,42,75,.560,6,20,.300,34,42,.810,14,42,56,25,4,8,24,14,124,
Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
ellismo01,45:11,5,23,.217,1,6,.167,2,2,1.000,1,0,1,11,5,0,1,2,13,-10
huntech01,35:58,8,14,.571,0,0,,6,6,1.000,3,4,7,1,1,1,0,3,22,-10
maggeco01,34:59,9,15,.600,0,0,,0,0,,1,3,4,1,1,0,3,4,18,-16
curryst01,33:50,11,19,.579,5,9,.556,2,2,1.000,0,5,5,9,1,0,0,4,29,-9
tollian01,27:30,5,8,.625,3,5,.600,1,1,1.000,1,3,4,2,0,0,0,5,14,-10
watsocj01,23:43,4,10,.400,0,1,.000,1,2,.500,1,1,2,4,3,0,0,1,9,+13
georgde01,17:17,5,8,.625,3,6,.500,0,0,,0,2,2,1,3,0,0,4,13,+11
morroan01,17:15,1,3,.333,1,3,.333,0,0,,0,0,0,0,0,0,1,3,3,+6
willire02,4:18,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+10
Team Totals,240,48,100,.480,13,30,.433,12,13,.923,7,18,25,29,14,1,5,26,121,
