Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
feltora01,34:22,6,9,.667,0,1,.000,0,0,,0,4,4,8,0,0,1,4,12,+8
hughela01,27:22,3,7,.429,0,2,.000,4,4,1.000,0,2,2,3,1,0,0,0,10,-2
diawbo01,25:59,5,9,.556,0,0,,0,0,,1,4,5,6,2,0,1,1,10,-3
jacksst02,24:00,7,19,.368,1,2,.500,2,2,1.000,4,5,9,2,0,0,2,1,17,-3
ratlith01,12:00,3,6,.500,0,0,,0,0,,1,2,3,0,0,2,1,0,6,+8
augusdj01,22:22,5,7,.714,1,1,1.000,0,0,,1,2,3,7,0,0,0,2,11,+3
thomaty01,22:01,4,13,.308,0,0,,5,5,1.000,0,3,3,1,0,1,2,4,13,+13
hendege02,20:38,6,9,.667,0,0,,2,2,1.000,3,4,7,0,0,1,0,1,14,+12
mohamna01,18:07,0,2,.000,0,0,,0,0,,0,2,2,1,0,1,3,3,0,-5
chandty01,17:53,2,3,.667,0,0,,3,4,.750,1,5,6,2,0,0,2,2,7,+7
grahast01,15:16,2,3,.667,1,1,1.000,0,0,,0,3,3,1,0,0,1,1,5,+12
Team Totals,240,43,87,.494,3,7,.429,16,17,.941,11,36,47,31,3,5,13,19,105,
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
willite01,44:17,10,19,.526,0,3,.000,1,1,1.000,3,10,13,6,1,0,4,3,21,-11
leeco01,41:35,7,20,.350,1,7,.143,3,4,.750,3,3,6,2,3,0,1,2,18,-8
lopezbr01,39:29,4,15,.267,0,1,.000,8,8,1.000,5,3,8,3,0,1,4,3,16,-11
harride01,36:38,6,18,.333,3,10,.300,7,10,.700,0,0,0,1,2,0,2,3,22,-8
jianlyi01,36:11,6,8,.750,0,0,,2,2,1.000,3,7,10,1,0,3,0,2,14,-2
quinnch01,14:37,1,4,.250,0,3,.000,0,0,,0,3,3,3,1,0,0,1,2,-5
boonejo01,11:24,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,2,2,-7
humphkr01,8:56,0,2,.000,0,0,,0,0,,1,2,3,1,1,0,0,1,0,0
douglch01,6:53,0,2,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0,+2
Team Totals,240,35,89,.393,4,24,.167,21,25,.840,15,28,43,18,8,4,11,17,95,
