Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
odomla01,40:17,8,12,.667,1,1,1.000,1,2,.500,3,14,17,5,1,0,3,2,18,+10
gasolpa01,39:33,10,17,.588,0,0,,1,2,.500,2,6,8,9,1,2,1,0,21,+15
artesro01,36:47,5,14,.357,3,8,.375,1,1,1.000,4,0,4,0,3,0,1,0,14,-4
bryanko01,33:54,9,19,.474,2,5,.400,5,5,1.000,1,6,7,3,0,0,3,1,25,+9
fishede01,29:24,4,9,.444,1,2,.500,2,2,1.000,0,3,3,0,1,0,1,2,11,-2
blakest01,18:36,2,8,.250,2,5,.400,0,0,,1,0,1,2,0,0,0,3,6,+10
barnema02,17:47,4,8,.500,3,4,.750,0,0,,1,4,5,0,1,0,1,3,11,+5
brownsh01,15:15,4,8,.500,0,2,.000,0,0,,1,0,1,1,1,0,0,3,8,+4
ratlith01,8:27,0,0,,0,0,,0,0,,0,0,0,1,0,1,0,0,0,-7
Team Totals,240,46,95,.484,12,27,.444,10,12,.833,13,33,46,21,8,3,10,14,114,
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hillgr01,33:55,10,17,.588,0,1,.000,1,2,.500,1,2,3,2,0,0,0,3,21,-2
lopezro01,32:29,9,18,.500,0,0,,0,0,,7,7,14,0,0,1,0,0,18,-6
turkohe01,30:31,4,7,.571,1,2,.500,0,0,,0,6,6,3,1,2,2,5,9,-10
richaja01,29:24,6,18,.333,4,10,.400,1,2,.500,0,6,6,1,1,1,0,2,17,+2
nashst01,29:24,3,9,.333,1,2,.500,1,2,.500,1,1,2,9,1,0,3,0,8,+2
dragigo01,18:36,6,9,.667,2,3,.667,1,1,1.000,0,1,1,4,1,0,3,1,15,-10
dudleja01,18:36,3,4,.750,1,2,.500,3,4,.750,1,2,3,0,0,0,0,2,10,-10
warriha01,17:29,0,2,.000,0,0,,2,2,1.000,1,3,4,2,0,1,1,0,2,+2
fryech01,15:31,1,4,.250,0,3,.000,0,0,,0,1,1,0,0,1,0,1,2,-2
childjo01,14:05,2,5,.400,0,1,.000,0,0,,1,2,3,0,0,1,1,0,4,-6
Team Totals,240,44,93,.473,9,24,.375,9,13,.692,12,31,43,21,4,7,10,14,106,
