Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
anthoca01,35:40,9,17,.529,0,1,.000,8,10,.800,2,2,4,0,0,0,4,2,26,-4
billuch01,35:28,6,12,.500,1,4,.250,3,3,1.000,1,1,2,0,0,0,4,3,16,-6
afflaar01,35:20,2,5,.400,0,2,.000,0,0,,1,2,3,1,0,1,2,5,4,-4
hilarne01,32:47,6,9,.667,0,0,,5,6,.833,1,7,8,3,0,3,2,3,17,-3
willish02,13:29,4,5,.800,0,0,,1,2,.500,2,4,6,1,0,1,1,5,9,+4
harrial01,31:21,5,11,.455,3,7,.429,2,2,1.000,0,2,2,2,0,0,3,5,15,-20
anderch01,18:23,0,1,.000,0,0,,4,4,1.000,1,2,3,0,0,0,1,3,4,-21
lawsoty01,12:39,1,2,.500,0,0,,1,1,1.000,0,1,1,3,0,0,2,1,3,-17
smithjr01,12:27,1,5,.200,0,2,.000,0,0,,0,1,1,0,0,0,2,2,2,-21
forbega01,9:30,2,3,.667,0,0,,2,2,1.000,0,0,0,0,0,0,0,0,6,-8
cartean01,2:56,0,1,.000,0,0,,0,0,,0,0,0,2,0,0,1,1,0,0
Team Totals,240,36,71,.507,4,16,.250,26,30,.867,8,22,30,12,0,5,22,30,102,
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
evansty01,41:32,11,18,.611,0,1,.000,5,5,1.000,1,4,5,12,2,0,1,2,27,+15
udrihbe01,35:28,4,10,.400,1,4,.250,8,8,1.000,2,1,3,2,2,0,1,3,17,+11
couside01,29:56,7,12,.583,0,0,,6,8,.750,1,5,6,2,1,0,4,4,20,+7
garcifr01,23:24,5,8,.625,4,6,.667,0,0,,0,4,4,1,1,1,0,5,14,0
thompja02,13:48,2,4,.500,0,0,,2,2,1.000,0,0,0,0,2,0,0,2,6,-3
landrca01,31:02,5,9,.556,0,1,.000,4,7,.571,2,2,4,2,1,1,3,3,14,+21
casspom01,25:00,5,8,.625,3,5,.600,0,0,,1,5,6,0,0,0,2,2,13,+19
dalemsa01,16:33,0,2,.000,0,0,,0,0,,0,3,3,0,1,2,1,1,0,+12
jetereu01,16:21,3,4,.750,0,0,,0,0,,0,1,1,0,1,0,2,2,6,+13
jacksda01,2:41,1,1,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,3,0
tayloje02,2:15,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,1,1,2,+2
greendo01,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Team Totals,240,44,78,.564,9,18,.500,25,30,.833,7,26,33,19,11,4,15,25,122,
