Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
derozde01,41:37,10,19,.526,0,0,,8,9,.889,1,2,3,1,4,0,5,3,28,-1
caldejo01,37:48,6,12,.500,2,2,1.000,0,1,.000,0,1,1,8,2,0,3,3,14,-4
bargnan01,37:22,6,20,.300,1,5,.200,1,1,1.000,1,6,7,1,1,2,1,2,14,-8
johnsam01,33:21,4,11,.364,0,0,,1,1,1.000,3,5,8,1,0,0,0,4,9,-8
wrighju01,28:31,1,4,.250,0,0,,2,4,.500,3,3,6,4,2,1,1,0,4,-16
davised01,26:32,2,2,1.000,0,0,,2,2,1.000,3,8,11,2,0,0,0,2,6,-1
bayleje01,21:35,3,7,.429,0,0,,4,4,1.000,0,1,1,3,1,0,3,2,10,-6
gainesu01,11:08,4,6,.667,0,1,.000,2,3,.667,0,0,0,0,1,0,2,2,10,-3
dorsejo01,2:06,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+2
Team Totals,240,36,82,.439,3,8,.375,20,25,.800,11,27,38,20,11,3,15,19,95,
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
ginobma01,35:56,4,13,.308,1,5,.200,14,14,1.000,1,3,4,7,1,0,4,3,23,+2
blairde01,34:39,11,16,.688,0,0,,0,0,,8,3,11,1,1,1,3,5,22,+15
parketo01,32:47,8,16,.500,0,1,.000,1,2,.500,1,4,5,5,3,0,2,1,17,+7
duncati01,32:15,3,7,.429,0,0,,4,5,.800,1,11,12,4,0,3,3,1,10,-1
jefferi01,24:01,1,4,.250,0,2,.000,0,0,,2,2,4,0,0,0,2,4,2,+2
hillge01,28:21,4,9,.444,1,4,.250,5,6,.833,1,5,6,1,0,0,0,3,14,+4
mcdyean01,28:04,4,7,.571,0,0,,0,0,,3,3,6,4,3,0,2,2,8,+4
nealga01,21:04,3,11,.273,2,4,.500,0,2,.000,0,0,0,1,0,1,0,0,8,+10
owensla01,1:51,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0,+2
splitti01,1:02,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,0
Team Totals,240,38,83,.458,4,16,.250,24,29,.828,17,32,49,23,8,6,16,20,104,
