New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
lopezbr01,41:15,14,27,.519,0,0,,3,6,.500,2,9,11,1,1,1,2,3,31,+6
morroan01,35:10,2,9,.222,0,3,.000,1,1,1.000,0,4,4,0,0,0,0,4,5,+17
harride01,32:42,4,10,.400,1,1,1.000,7,8,.875,0,4,4,8,0,0,0,1,16,+6
outlatr01,29:51,1,8,.125,0,3,.000,1,3,.333,2,3,5,1,0,1,0,4,3,-2
favorde01,15:53,2,3,.667,0,0,,0,0,,2,4,6,1,0,1,0,5,4,+3
humphkr01,31:45,5,10,.500,0,0,,5,7,.714,7,7,14,2,0,1,2,3,15,-2
vujacsa01,25:43,3,8,.375,1,5,.200,3,6,.500,0,3,3,3,2,2,1,4,10,+1
farmajo01,15:23,3,7,.429,0,2,.000,2,3,.667,0,0,0,2,0,0,0,1,8,+1
rossqu01,6:09,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,0,2,-6
petrojo01,6:09,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,0,3,0,+1
Team Totals,240,35,86,.407,2,14,.143,22,34,.647,13,35,48,18,3,7,5,28,94,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
wallage01,40:34,6,10,.600,0,1,.000,8,11,.727,2,7,9,3,1,2,0,1,20,+2
jacksst02,39:35,5,12,.417,3,5,.600,8,11,.727,0,3,3,4,0,3,5,4,21,-12
brownkw01,29:54,3,6,.500,0,0,,2,2,1.000,0,8,8,0,0,0,2,4,8,-10
diawbo01,29:52,5,13,.385,1,4,.250,1,1,1.000,2,4,6,4,0,0,0,1,12,-10
augusdj01,28:18,2,10,.200,0,4,.000,0,0,,0,2,2,2,0,0,1,4,4,-7
livinsh01,20:01,4,6,.667,0,0,,2,2,1.000,1,1,2,1,0,0,3,1,10,+4
hendege02,17:03,3,5,.600,0,0,,5,8,.625,0,5,5,0,1,0,0,1,11,+2
najered01,16:36,1,5,.200,0,0,,0,0,,0,3,3,2,0,0,1,2,2,+1
mcguido01,10:14,0,1,.000,0,0,,0,0,,0,3,3,0,0,0,0,1,0,+8
mohamna01,7:53,0,0,,0,0,,1,4,.250,0,1,1,0,0,0,1,2,1,-3
Team Totals,240,29,68,.426,4,14,.286,27,39,.692,5,37,42,16,2,5,13,21,89,
