Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
nashst01,35:56,2,8,.250,1,3,.333,2,2,1.000,1,2,3,12,0,0,3,0,7,+17
dudleja01,32:43,5,9,.556,2,4,.500,4,4,1.000,0,1,1,0,0,0,0,1,16,+12
hillgr01,32:43,3,9,.333,0,1,.000,4,4,1.000,0,3,3,3,1,2,0,1,10,+15
gortama01,29:56,6,8,.750,0,0,,0,1,.000,1,6,7,1,0,4,0,2,12,+18
fryech01,25:28,4,15,.267,2,9,.222,0,0,,2,14,16,2,0,3,1,4,10,+18
warriha01,25:27,6,12,.500,0,2,.000,6,7,.857,3,4,7,1,0,1,2,2,18,-3
lopezro01,17:27,1,5,.200,0,0,,2,2,1.000,1,0,1,0,0,0,1,4,4,-1
brownsh01,15:54,4,9,.444,1,2,.500,2,2,1.000,0,4,4,1,2,0,2,2,11,+1
pricero01,12:04,1,1,1.000,1,1,1.000,0,0,,0,2,2,2,0,0,0,2,3,-2
childjo01,11:10,1,2,.500,0,1,.000,0,0,,2,1,3,0,0,0,0,2,2,+2
morrima02,1:12,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,2,0,-2
Team Totals,240,33,78,.423,7,23,.304,20,22,.909,10,37,47,22,3,10,10,22,93,
New Orleans Hornets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
jackja01,39:14,6,20,.300,0,3,.000,0,0,,0,1,1,4,0,1,2,3,12,-15
belinma01,35:30,3,13,.231,2,6,.333,0,1,.000,3,7,10,0,2,0,1,2,8,-12
landrca01,32:21,6,16,.375,0,0,,5,5,1.000,5,3,8,2,0,0,2,2,17,-10
okafoem01,27:54,2,6,.333,0,0,,6,10,.600,8,8,16,1,0,1,1,3,10,-5
arizatr01,27:46,2,11,.182,1,2,.500,2,2,1.000,3,4,7,1,2,0,1,5,7,-9
kamanch01,19:36,1,5,.200,0,0,,2,2,1.000,2,0,2,1,0,3,3,1,4,-9
smithja02,17:10,4,9,.444,0,0,,0,0,,1,4,5,0,0,0,1,3,8,-5
vasqugr01,16:54,1,5,.200,0,2,.000,2,2,1.000,0,0,0,5,0,0,0,2,4,0
aminual01,16:11,1,3,.333,0,1,.000,4,4,1.000,2,5,7,0,0,0,2,3,6,-5
johnstr01,4:22,0,1,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-3
johnsca01,1:31,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
thomala01,1:31,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Team Totals,240,26,90,.289,3,14,.214,23,28,.821,24,33,57,14,4,5,13,24,78,
