Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
paulch01,42:10,10,22,.455,0,3,.000,8,10,.800,1,3,4,10,1,0,2,4,28,-4
butleca01,40:56,4,12,.333,2,3,.667,4,4,1.000,0,2,2,0,0,0,0,1,14,-2
griffbl01,38:06,5,14,.357,0,0,,4,7,.571,4,7,11,3,2,1,4,1,14,-8
jordade01,27:40,4,5,.800,0,0,,0,1,.000,4,7,11,0,0,1,0,5,8,-6
foyera01,24:10,6,7,.857,3,4,.750,0,0,,0,1,1,1,0,0,3,4,15,+3
willima01,36:14,5,11,.455,1,3,.333,3,3,1.000,0,1,1,2,1,0,2,1,14,+1
martike01,26:39,5,12,.417,0,1,.000,0,0,,2,5,7,0,1,0,1,4,10,+12
evansre01,13:35,0,0,,0,0,,0,0,,1,8,9,0,0,0,1,0,0,+6
simmobo01,8:35,0,1,.000,0,0,,0,0,,0,2,2,0,0,0,0,1,0,+6
bledser01,6:55,1,2,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,2,+2
Team Totals,265,40,86,.465,6,14,.429,19,25,.760,12,37,49,17,5,2,13,21,105,
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
martike02,42:16,6,22,.273,3,9,.333,10,10,1.000,0,3,3,8,1,0,2,1,25,+3
lowryky01,41:06,5,11,.455,2,3,.667,2,4,.500,0,5,5,2,1,0,3,4,14,-1
scolalu01,40:33,6,11,.545,0,0,,4,5,.800,4,8,12,1,2,0,3,5,16,-2
dalemsa01,36:28,8,14,.571,0,0,,1,2,.500,5,7,12,1,1,3,0,5,17,+7
parsoch01,20:15,5,6,.833,1,1,1.000,0,1,.000,1,0,1,2,1,0,0,2,11,+5
leeco01,29:00,5,6,.833,3,3,1.000,0,0,,0,0,0,2,0,0,1,2,13,-2
pattepa01,20:41,1,4,.250,0,0,,0,0,,1,2,3,1,0,0,1,2,2,-7
willite01,14:29,1,8,.125,1,3,.333,2,2,1.000,0,2,2,2,1,0,1,1,5,-10
dragigo01,11:54,0,4,.000,0,1,.000,0,0,,0,2,2,0,1,0,0,1,0,-1
smithgr02,8:18,0,0,,0,0,,0,0,,1,2,3,0,1,0,1,2,0,-2
Team Totals,265,37,86,.430,10,20,.500,19,24,.792,12,31,43,19,9,3,12,25,103,
