Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
holidjr01,31:11,8,13,.615,0,1,.000,4,4,1.000,0,4,4,6,0,1,1,2,20,+20
brandel01,31:03,8,13,.615,0,0,,0,0,,4,4,8,2,0,0,0,3,16,+21
iguodan01,30:36,1,4,.250,0,1,.000,1,2,.500,0,7,7,5,1,0,2,3,3,+12
turneev01,27:03,3,11,.273,0,1,.000,0,0,,0,3,3,0,0,0,1,2,6,+14
hawessp01,23:45,6,11,.545,0,0,,1,1,1.000,6,5,11,3,1,3,2,2,13,+13
youngth01,27:49,10,12,.833,0,0,,0,0,,4,2,6,2,1,2,0,2,20,+12
meeksjo01,23:46,2,5,.400,2,5,.400,2,2,1.000,0,3,3,0,0,0,0,2,8,+20
willilo02,22:55,8,12,.667,3,3,1.000,0,0,,0,3,3,5,0,0,3,1,19,+15
vucevni01,11:05,0,3,.000,0,0,,0,0,,1,2,3,2,1,0,1,3,0,+1
youngsa01,8:52,0,1,.000,0,0,,0,0,,0,2,2,1,1,0,0,1,0,-4
allenla01,1:55,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+1
Team Totals,240,46,86,.535,5,11,.455,8,9,.889,15,36,51,26,5,6,10,21,105,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
willire02,28:36,4,7,.571,1,2,.500,4,5,.800,3,3,6,2,0,0,0,0,13,-22
biyombi01,28:16,0,3,.000,0,0,,2,4,.500,1,8,9,1,1,1,2,0,2,-19
hendege02,27:50,5,10,.500,0,0,,4,4,1.000,0,1,1,4,1,1,0,2,14,-8
augusdj01,25:40,2,8,.250,0,2,.000,3,3,1.000,1,1,2,5,1,0,1,1,7,-21
thomaty01,14:43,3,10,.300,0,0,,0,0,,0,0,0,1,0,1,0,2,6,-17
brownde04,29:00,2,5,.400,0,1,.000,1,3,.333,1,1,2,1,0,2,1,2,5,-9
whitedj01,25:05,5,10,.500,0,0,,2,2,1.000,1,3,4,2,0,1,1,1,12,-6
walkeke02,23:17,5,11,.455,1,1,1.000,2,2,1.000,2,2,4,5,0,0,0,1,13,-7
mulleby01,22:54,2,8,.250,0,0,,0,0,,0,1,1,2,3,1,1,1,4,-1
higgico01,4:53,1,1,1.000,0,0,,2,5,.400,0,1,1,0,0,0,2,0,4,-5
carroma01,4:53,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-5
najered01,4:53,0,2,.000,0,2,.000,0,0,,0,1,1,0,1,0,0,0,0,-5
Team Totals,240,29,75,.387,2,8,.250,20,28,.714,9,22,31,23,7,7,8,10,80,
