Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
brownsh01,27:58,7,14,.500,2,6,.333,1,2,.500,0,7,7,4,0,1,1,0,17,+5
nashst01,26:03,6,10,.600,1,3,.333,1,1,1.000,0,2,2,6,0,1,3,0,14,+9
dudleja01,22:40,2,7,.286,0,2,.000,0,0,,1,2,3,2,0,0,1,0,4,+10
gortama01,21:08,2,3,.667,0,0,,0,0,,3,4,7,0,1,0,3,3,4,+11
fryech01,16:27,4,5,.800,1,1,1.000,0,0,,0,1,1,1,0,0,2,3,9,+10
morrima02,31:17,9,15,.600,1,3,.333,2,2,1.000,1,5,6,1,1,1,3,4,21,+14
telfase01,21:57,6,7,.857,1,2,.500,1,1,1.000,0,1,1,7,2,1,0,3,14,+15
lopezro01,21:54,2,6,.333,0,0,,2,4,.500,0,3,3,2,0,3,1,5,6,+16
reddmi01,20:38,5,9,.556,1,2,.500,2,2,1.000,0,3,3,1,0,0,1,0,13,+17
childjo01,20:02,3,5,.600,0,1,.000,0,0,,0,4,4,2,0,0,0,0,6,+19
warriha01,4:58,1,1,1.000,0,0,,4,4,1.000,0,1,1,0,0,0,2,1,6,-3
pricero01,4:58,0,0,,0,0,,0,0,,0,2,2,1,0,0,0,0,0,-3
Team Totals,240,47,82,.573,7,20,.350,13,16,.813,5,35,40,27,4,7,17,19,114,
Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
loveke01,38:38,7,19,.368,1,6,.167,10,11,.909,4,9,13,2,2,0,4,5,25,-22
bareajo01,31:48,7,17,.412,2,6,.333,0,0,,0,3,3,5,1,0,1,2,16,-18
pekovni01,29:38,3,6,.500,0,0,,5,6,.833,1,1,2,0,2,0,2,1,11,-13
webstma02,26:36,1,3,.333,0,0,,0,0,,1,6,7,0,0,0,1,1,2,-8
johnswe01,24:40,4,8,.500,1,2,.500,0,0,,0,2,2,1,0,1,3,2,9,-14
beaslmi01,29:02,5,14,.357,2,5,.400,0,0,,1,2,3,2,0,0,0,3,12,-9
leema01,22:30,1,4,.250,0,1,.000,3,4,.750,2,0,2,5,0,1,2,3,5,-16
willide02,17:05,4,7,.571,0,0,,2,2,1.000,1,2,3,0,0,0,0,0,10,-17
ellinwa01,9:24,0,3,.000,0,2,.000,0,0,,0,1,1,2,0,0,0,1,0,-7
tollian01,5:42,0,0,,0,0,,0,0,,0,1,1,0,1,0,1,1,0,+1
randoan01,4:58,0,2,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0,+3
Team Totals,240,32,83,.386,6,22,.273,20,23,.870,10,27,37,17,7,2,14,19,90,
