Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
rondora01,43:14,8,17,.471,0,0,,4,7,.571,2,4,6,16,1,0,8,2,20,+11
bassbr01,37:01,9,19,.474,0,0,,4,5,.800,1,8,9,1,0,3,1,2,22,+14
bradlav01,35:06,9,14,.643,2,3,.667,2,2,1.000,1,2,3,2,0,0,1,2,22,+8
pietrmi01,34:56,4,15,.267,3,11,.273,0,0,,1,5,6,0,0,1,0,1,11,+14
stiemgr01,27:57,4,4,1.000,0,0,,0,0,,2,3,5,1,4,6,1,4,8,+6
holliry01,19:58,1,1,1.000,0,0,,0,1,.000,0,4,4,0,1,0,2,2,2,+6
pavloal01,15:16,0,1,.000,0,1,.000,1,2,.500,0,7,7,0,0,0,1,0,1,+5
doolike01,14:16,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,0,0,2,-2
johnsja02,5:58,1,3,.333,0,0,,0,0,,1,1,2,0,0,0,0,3,2,-1
daniema01,5:01,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2,-1
mooreet01,1:17,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2,0
Team Totals,240,39,80,.488,5,15,.333,11,17,.647,8,36,44,21,6,10,14,16,94,
Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
hendege02,35:01,10,19,.526,0,1,.000,2,2,1.000,2,1,3,5,0,0,2,1,22,-12
brownde04,34:59,6,10,.600,1,1,1.000,2,2,1.000,0,7,7,0,3,1,1,3,15,-5
biyombi01,29:02,2,10,.200,0,0,,5,6,.833,2,5,7,0,0,2,2,1,9,+6
whitedj01,28:22,5,9,.556,0,0,,3,5,.600,1,2,3,0,0,1,2,2,13,-15
augusdj01,26:51,1,5,.200,0,1,.000,0,0,,2,2,4,10,0,0,0,2,2,-14
walkeke02,24:13,2,9,.222,1,4,.250,3,5,.600,0,3,3,3,1,1,1,1,8,+2
mulleby01,22:04,3,6,.500,0,1,.000,0,0,,0,3,3,1,1,0,2,0,6,-16
willire02,14:59,1,4,.250,1,4,.250,0,0,,1,2,3,1,1,0,0,0,3,+1
moonja01,13:01,0,2,.000,0,1,.000,0,0,,1,2,3,0,0,0,0,1,0,-7
thomaty01,11:28,2,5,.400,0,0,,0,0,,0,1,1,0,1,0,1,2,4,0
Team Totals,240,32,79,.405,3,13,.231,15,20,.750,9,28,37,20,7,5,11,13,82,
