Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bareajo01,30:52,5,14,.357,2,6,.333,2,5,.400,0,1,1,9,0,0,1,2,14,-28
webstma02,24:25,2,4,.500,1,3,.333,0,0,,1,5,6,1,1,0,0,2,5,-24
pekovni01,22:40,4,11,.364,0,0,,2,2,1.000,3,1,4,0,0,1,0,1,10,-27
randoan01,18:05,1,7,.143,0,0,,4,4,1.000,1,4,5,0,0,2,1,4,6,-27
johnswe01,17:45,3,7,.429,3,4,.750,0,0,,0,1,1,2,0,0,0,2,9,-12
willide02,29:55,3,15,.200,0,6,.000,7,8,.875,2,8,10,1,1,1,2,3,13,+4
millebr01,25:20,2,5,.400,1,2,.500,0,0,,0,3,3,2,1,1,1,1,5,+4
beaslmi01,23:51,6,11,.545,0,3,.000,1,2,.500,1,4,5,0,0,0,5,3,13,-12
ellinwa01,22:56,2,5,.400,0,1,.000,0,2,.000,1,4,5,0,0,1,0,1,4,+1
leema01,17:47,4,6,.667,0,0,,1,2,.500,0,2,2,1,1,0,0,1,9,+5
tollian01,6:24,0,2,.000,0,0,,0,0,,1,2,3,0,0,0,0,0,0,+1
Team Totals,240,32,87,.368,7,25,.280,17,25,.680,10,35,45,16,4,6,10,20,88,
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
grangda01,26:14,6,14,.429,5,7,.714,2,2,1.000,2,5,7,5,0,0,0,1,19,+29
hibbero01,25:56,5,7,.714,0,0,,2,3,.667,2,9,11,2,1,5,1,3,12,+34
georgpa01,25:07,5,9,.556,2,2,1.000,6,6,1.000,0,5,5,3,1,0,1,1,18,+25
westda01,22:38,9,14,.643,0,0,,4,4,1.000,4,6,10,4,0,0,0,2,22,+29
hillge01,22:11,3,8,.375,1,5,.200,4,4,1.000,2,1,3,4,1,0,1,2,11,+36
barbole01,25:52,3,11,.273,1,6,.167,2,2,1.000,0,3,3,1,1,0,3,0,9,-5
hansbty01,23:20,2,10,.200,0,0,,0,0,,1,3,4,0,1,1,2,5,4,-9
collida01,18:55,0,2,.000,0,0,,0,0,,0,3,3,2,0,0,2,3,0,-18
jonesda02,18:47,3,5,.600,1,2,.500,2,2,1.000,0,1,1,1,0,0,0,2,9,-3
amundlo01,15:50,1,3,.333,0,0,,0,2,.000,1,4,5,0,0,1,1,1,2,-18
priceaj01,6:54,1,2,.500,1,2,.500,0,0,,0,1,1,2,0,0,0,0,3,+5
fesenky01,4:08,1,2,.500,0,0,,0,0,,1,3,4,0,0,0,0,0,2,+5
pendeje02,4:08,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0,+5
Team Totals,240,39,88,.443,11,24,.458,22,25,.880,14,44,58,24,5,7,11,20,111,
