Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
harride01,39:38,4,9,.444,0,2,.000,0,3,.000,1,1,2,2,2,0,0,4,8,-12
teaguje01,37:13,7,14,.500,2,2,1.000,5,6,.833,0,1,1,7,1,0,3,4,21,-20
smithjo03,35:04,7,15,.467,1,4,.250,0,2,.000,0,8,8,5,0,0,4,0,15,-21
horfoal01,28:09,7,12,.583,0,0,,0,1,.000,0,6,6,3,1,1,2,3,14,-15
korveky01,22:15,2,7,.286,1,4,.250,0,0,,0,2,2,0,0,0,1,4,5,-12
stevede01,25:02,2,2,1.000,2,2,1.000,0,0,,1,3,4,1,0,0,1,3,6,-6
johnsiv01,22:35,5,8,.625,0,0,,0,0,,3,2,5,1,1,1,3,4,10,-2
petrojo01,12:00,3,3,1.000,0,0,,0,0,,0,1,1,0,0,1,0,3,6,+1
jenkijo01,7:06,0,2,.000,0,1,.000,0,0,,0,0,0,1,0,0,2,1,0,-3
macksh01,6:34,1,4,.250,1,2,.500,0,0,,1,1,2,3,0,0,0,0,3,+5
tollian01,1:45,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+2
scottmi01,1:20,0,0,,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2,-1
jonesda02,1:20,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-1
Team Totals,240,38,76,.500,7,17,.412,7,14,.500,6,26,32,23,5,3,16,26,90,
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
georgpa01,44:01,3,13,.231,0,5,.000,17,18,.944,1,10,11,12,1,1,4,3,23,+15
stephla01,40:38,5,9,.556,1,3,.333,2,4,.500,1,4,5,4,3,1,3,2,13,+23
hillge01,36:43,7,10,.700,3,4,.750,1,1,1.000,0,3,3,2,0,0,1,2,18,+19
hibbero01,33:26,7,17,.412,0,0,,2,2,1.000,6,2,8,0,1,2,1,3,16,+15
westda01,31:51,6,11,.545,0,0,,1,1,1.000,2,7,9,2,0,0,3,3,13,+13
hansbty01,16:52,3,5,.600,0,0,,3,4,.750,5,0,5,0,2,0,1,2,9,+2
pendeje02,13:51,1,5,.200,0,0,,0,0,,0,5,5,0,0,0,0,3,2,+4
augusdj01,11:17,0,0,,0,0,,2,2,1.000,0,1,1,1,1,0,0,0,2,-2
greenge01,10:41,3,8,.375,3,7,.429,2,2,1.000,0,1,1,2,0,0,1,1,11,-7
johnsor01,0:40,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,+3
Team Totals,240,35,78,.449,7,19,.368,30,34,.882,15,33,48,23,8,4,14,19,107,
