Memphis Grizzlies
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
gasolma01,34:14,7,16,.438,0,0,,1,2,.500,1,6,7,2,1,2,0,3,15,-12
conlemi01,31:32,5,12,.417,0,0,,4,6,.667,0,4,4,8,1,0,4,2,14,-14
princta01,28:51,2,5,.400,0,0,,2,4,.500,1,0,1,2,0,0,0,0,6,-7
randoza01,28:05,1,8,.125,0,0,,0,0,,3,4,7,0,0,1,1,2,2,-28
allento01,25:21,3,3,1.000,0,0,,2,2,1.000,1,3,4,1,0,0,2,2,8,-16
pondequ01,29:12,6,11,.545,5,9,.556,0,0,,0,1,1,0,0,0,2,2,17,-9
bayleje01,20:36,3,7,.429,0,2,.000,2,2,1.000,0,4,4,5,1,1,0,2,8,-9
arthuda01,12:08,1,2,.500,0,0,,0,0,,1,2,3,2,0,1,2,2,2,-5
davised01,10:33,1,3,.333,0,0,,3,4,.750,2,0,2,0,0,1,0,2,5,+5
dayeau01,8:49,2,5,.400,0,1,.000,0,0,,0,1,1,0,0,0,1,0,4,-7
leuerjo01,5:14,1,1,1.000,0,0,,0,0,,1,0,1,0,1,0,0,0,2,0
doolike01,3:13,0,0,,0,0,,0,0,,0,0,0,0,1,0,0,0,0,-6
wroteto01,2:12,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-2
Team Totals,240,32,74,.432,5,12,.417,14,20,.700,10,25,35,20,5,6,12,17,83,
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
parketo01,32:52,9,14,.643,0,0,,2,2,1.000,0,1,1,9,2,0,3,2,20,+6
leonaka01,29:56,7,10,.700,4,5,.800,0,0,,0,2,2,1,2,1,1,0,18,+9
duncati01,27:25,3,9,.333,0,0,,0,0,,2,8,10,4,0,2,2,1,6,+4
greenda02,25:51,6,9,.667,3,6,.500,1,1,1.000,1,3,4,3,0,0,1,2,16,+28
splitti01,16:44,0,1,.000,0,0,,1,2,.500,0,0,0,2,0,0,1,4,1,+16
ginobma01,21:06,2,6,.333,1,3,.333,3,5,.600,1,4,5,3,1,1,1,2,8,+2
diawbo01,21:04,0,2,.000,0,1,.000,2,2,1.000,1,0,1,2,0,0,0,3,2,+11
nealga01,18:58,5,8,.625,1,4,.250,0,0,,0,1,1,1,0,0,1,0,11,+9
bonnema01,16:55,4,7,.571,4,6,.667,0,0,,0,2,2,1,0,0,0,1,12,+11
josepco01,11:55,1,5,.200,0,1,.000,0,0,,1,2,3,0,0,0,0,0,2,+12
mcgratr01,6:45,0,2,.000,0,2,.000,0,0,,0,2,2,0,0,0,1,0,0,+2
blairde01,5:15,2,2,1.000,0,0,,2,2,1.000,1,1,2,1,0,0,0,2,6,0
millspa02,5:14,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,0,1,3,0
Team Totals,240,40,76,.526,14,29,.483,11,14,.786,7,26,33,28,5,4,11,18,105,
