Minnesota Timberwolves
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
kirilan01,44:15,7,12,.583,1,2,.500,1,2,.500,2,9,11,2,2,2,4,2,16,+12
ridnolu01,40:36,3,9,.333,2,5,.400,7,8,.875,0,8,8,7,4,0,3,3,15,+13
pekovni01,27:31,8,13,.615,0,0,,4,5,.800,2,4,6,3,1,0,1,1,20,+21
leema01,23:13,2,6,.333,0,2,.000,0,0,,0,3,3,1,1,0,1,2,4,+5
willide02,12:23,1,2,.500,0,0,,2,2,1.000,0,5,5,0,0,2,3,1,4,+2
shvedal01,33:09,3,12,.250,1,6,.167,9,11,.818,0,4,4,5,0,3,2,1,16,-1
cunnida01,32:55,6,9,.667,0,0,,2,2,1.000,2,6,8,2,0,0,1,5,14,+2
amundlo01,14:53,0,1,.000,0,0,,0,0,,1,2,3,0,0,0,1,3,0,+3
stiemgr01,7:34,0,1,.000,0,0,,0,0,,0,1,1,0,0,0,1,4,0,-13
conrowi01,3:31,0,0,,0,0,,1,2,.500,0,0,0,0,0,0,0,0,1,-4
Team Totals,240,30,65,.462,4,15,.267,26,32,.813,7,42,49,20,8,7,17,22,90,
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mayooj01,34:02,7,18,.389,2,4,.500,2,2,1.000,2,3,5,1,0,0,2,3,18,-14
collida01,33:23,5,10,.500,0,0,,11,12,.917,0,2,2,5,2,0,2,2,21,-14
brandel01,16:56,2,5,.400,0,0,,0,0,,0,4,4,1,0,0,0,2,4,-11
crowdja01,12:57,1,5,.200,1,4,.250,0,0,,0,0,0,1,0,1,0,2,3,-9
wrighbr03,9:25,1,3,.333,0,0,,0,0,,0,0,0,0,1,1,0,0,2,-8
cartevi01,29:01,1,7,.143,0,4,.000,2,2,1.000,0,3,3,1,2,0,0,4,4,-6
kamanch01,27:18,5,15,.333,0,0,,2,4,.500,2,3,5,0,0,0,1,2,12,-5
murphtr01,25:05,2,6,.333,0,2,.000,1,1,1.000,0,5,5,0,0,0,0,1,5,+3
beaubro01,21:08,0,3,.000,0,1,.000,0,0,,0,3,3,7,2,0,2,1,0,+13
jonesda02,20:51,2,4,.500,1,1,1.000,2,4,.500,1,3,4,0,0,0,0,3,7,+9
jamesbe01,9:54,3,4,.750,0,0,,0,0,,2,2,4,0,0,0,1,0,6,+2
Team Totals,240,29,80,.363,4,16,.250,20,25,.800,7,28,35,16,7,2,8,20,82,
