Charlotte Bobcats
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
mulleby01,43:58,5,19,.263,3,8,.375,0,0,,5,12,17,5,1,4,3,4,13,+8
walkeke02,42:17,12,25,.480,2,6,.333,2,4,.500,0,5,5,7,3,0,1,2,28,+10
hendege02,37:54,6,16,.375,3,4,.750,4,4,1.000,3,6,9,4,0,0,1,5,19,+16
biyombi01,32:48,3,7,.429,0,0,,2,6,.333,7,4,11,1,0,2,0,5,8,+27
kiddgmi01,23:54,3,4,.750,0,0,,1,2,.500,1,2,3,1,0,1,2,2,7,-9
sessira01,28:53,7,13,.538,2,3,.667,4,4,1.000,1,3,4,6,0,0,1,1,20,-5
tayloje03,11:04,0,3,.000,0,1,.000,0,0,,2,0,2,0,0,0,0,1,0,-14
haywobr01,8:14,0,1,.000,0,0,,1,2,.500,1,1,2,0,1,0,0,3,1,-13
gordobe01,7:35,2,7,.286,0,2,.000,0,0,,1,0,1,0,0,0,2,0,4,-19
willire02,3:24,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,0,0,-6
Team Totals,240,38,95,.400,10,24,.417,14,22,.636,21,33,54,24,5,8,10,23,100,
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
bryanko01,43:17,11,24,.458,2,5,.400,6,7,.857,0,6,6,7,1,1,2,1,30,-7
howardw01,35:05,5,10,.500,0,0,,6,8,.750,9,9,18,1,1,4,5,5,16,-17
gasolpa01,29:25,3,10,.300,0,0,,4,6,.667,2,7,9,5,0,4,2,2,10,-4
duhonch01,23:06,1,3,.333,0,2,.000,0,0,,0,0,0,3,0,0,0,2,2,-21
ebankde01,4:49,1,4,.250,0,0,,0,0,,1,0,1,0,0,0,1,1,2,-6
meeksjo01,39:03,5,13,.385,5,12,.417,2,2,1.000,0,3,3,2,0,0,0,2,17,+16
artesro01,36:21,6,18,.333,2,10,.200,3,4,.750,2,5,7,0,4,1,0,4,17,+24
morrida01,28:54,3,6,.500,1,2,.500,0,0,,2,2,4,3,0,0,1,1,7,+20
Team Totals,240,35,88,.398,10,31,.323,21,27,.778,16,32,48,21,6,10,11,18,101,
