Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
knighbr03,36:11,1,10,.100,0,1,.000,0,0,,2,2,4,6,0,0,2,0,2,+3
monrogr01,34:36,14,22,.636,0,0,,7,8,.875,6,4,10,2,2,0,1,2,35,+5
princta01,32:57,3,6,.500,0,0,,3,4,.750,2,4,6,2,1,0,0,5,9,-2
singlky01,30:37,3,9,.333,1,2,.500,2,2,1.000,4,2,6,0,0,0,0,6,9,-16
maxieja01,21:12,2,6,.333,0,0,,2,4,.500,3,1,4,0,0,0,1,0,6,-7
stuckro01,29:20,5,12,.417,1,1,1.000,2,5,.400,0,1,1,4,0,0,3,4,13,-3
drumman01,20:23,2,3,.667,0,0,,2,7,.286,2,6,8,0,1,1,1,1,6,-4
villach01,19:41,4,10,.400,0,5,.000,0,0,,2,2,4,1,0,0,1,0,8,-2
dayeau01,15:03,1,6,.167,1,3,.333,0,0,,1,0,1,0,0,1,1,1,3,-4
Team Totals,240,35,84,.417,3,12,.250,18,30,.600,22,22,44,15,4,2,10,19,91,
Toronto Raptors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
derozde01,37:15,10,19,.526,2,4,.500,1,2,.500,1,1,2,1,1,1,0,2,23,+1
caldejo01,36:01,2,8,.250,2,5,.400,1,1,1.000,0,2,2,17,0,0,2,1,7,+7
davised01,27:39,5,7,.714,0,0,,1,2,.500,2,7,9,0,0,2,0,2,11,+7
valanjo01,26:42,5,6,.833,0,0,,2,2,1.000,2,3,5,1,0,1,2,4,12,-3
pietrmi01,21:46,2,3,.667,1,2,.500,2,2,1.000,0,2,2,0,0,1,1,2,7,+1
anderal01,26:14,4,11,.364,3,8,.375,5,7,.714,0,3,3,1,2,0,0,3,16,+5
johnsam01,21:10,1,1,1.000,0,0,,3,4,.750,3,6,9,0,2,1,1,4,5,+5
kleizli01,20:21,1,6,.167,1,6,.167,2,2,1.000,1,0,1,1,0,0,0,4,5,-1
lucasjo02,12:07,1,5,.200,0,3,.000,0,0,,0,0,0,4,0,0,0,0,2,+3
rosste01,10:45,4,6,.667,1,1,1.000,0,0,,0,0,0,1,0,0,0,2,9,+5
Team Totals,240,35,72,.486,10,29,.345,17,22,.773,9,24,33,26,5,6,6,24,97,
