Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
curryst01,36:43,14,20,.700,7,10,.700,3,4,.750,0,2,2,4,3,1,6,3,38,-12
leeda02,35:57,5,12,.417,0,0,,2,4,.500,2,10,12,1,4,2,5,3,12,-14
thompkl01,35:19,5,14,.357,3,6,.500,0,0,,2,2,4,2,2,0,0,0,13,-24
barneha02,21:41,3,4,.750,1,1,1.000,2,2,1.000,0,2,2,1,0,0,2,0,9,0
biedran01,17:36,0,1,.000,0,0,,0,0,,1,4,5,0,0,3,0,5,0,-2
landrca01,26:22,3,10,.300,0,0,,5,5,1.000,5,4,9,1,1,0,1,3,11,-4
jackja01,26:17,2,10,.200,1,3,.333,6,7,.857,0,1,1,4,0,0,5,4,11,-11
ezelife01,16:06,0,0,,0,0,,0,0,,2,3,5,2,0,0,0,3,0,-2
greendr01,11:19,1,4,.250,0,1,.000,0,0,,3,1,4,0,0,0,1,1,2,+1
jefferi01,11:07,0,1,.000,0,0,,1,2,.500,0,1,1,1,1,0,0,1,1,+11
bazemke01,1:34,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0,+2
Team Totals,240,33,76,.434,12,21,.571,19,24,.792,15,31,46,16,11,6,20,23,97,
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-
georgpa01,41:33,9,17,.529,2,9,.222,1,3,.333,2,9,11,4,3,1,2,3,21,+21
hillge01,37:41,9,14,.643,3,7,.429,2,2,1.000,1,2,3,7,3,0,1,2,23,+15
westda01,35:59,12,16,.750,0,0,,4,4,1.000,3,4,7,2,3,0,3,0,28,+18
stephla01,29:30,4,15,.267,1,4,.250,0,0,,0,2,2,5,1,0,0,1,9,+11
hibbero01,27:51,4,8,.500,0,0,,5,6,.833,5,4,9,1,1,5,3,2,13,+20
mahinia01,20:09,2,4,.500,0,0,,3,6,.500,3,3,6,0,1,1,2,5,7,-9
grangda01,18:30,1,7,.143,0,1,.000,3,4,.750,0,2,2,1,1,0,0,0,5,0
hansbty01,12:01,0,3,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,1,2,-7
augusdj01,10:19,0,0,,0,0,,0,0,,0,0,0,2,1,1,1,2,0,-4
johnsor01,6:27,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,1,0,-10
Team Totals,240,41,84,.488,6,21,.286,20,27,.741,14,28,42,22,14,9,12,17,108,
