Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
willibu01,46:00,3,9,.333,0,0,,6,8,.750,4,8,12,1,1,0,3,2,12
drexlcl01,43:00,13,20,.650,1,2,.500,6,8,.750,0,3,3,3,2,0,4,3,33
portete01,42:00,3,11,.273,0,4,.000,15,15,1.000,1,3,4,10,3,0,1,0,21
kerseje01,38:00,3,11,.273,0,0,,0,0,,0,3,3,0,0,1,0,6,6
duckwke01,28:00,6,10,.600,0,0,,2,3,.667,1,7,8,0,0,0,3,6,14
robincl02,21:00,2,8,.250,0,0,,3,5,.600,0,1,1,2,1,2,0,0,7
coopewa01,21:00,1,4,.250,0,0,,1,2,.500,2,3,5,0,1,0,0,5,3
petrodr01,13:00,4,5,.800,0,0,,0,0,,0,0,0,0,1,0,0,2,8
youngda01,11:00,1,3,.333,0,0,,0,0,,0,1,1,1,0,0,0,2,2
bryanma01,2:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,0,0
Team Totals,265,36,81,.444,1,6,.167,33,41,.805,9,29,38,17,9,3,11,26,106
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
dumarjo01,46:00,6,11,.545,0,0,,4,5,.800,1,5,6,8,0,0,3,3,16
laimbbi01,44:00,10,18,.556,6,9,.667,0,0,,4,7,11,4,1,0,0,4,26
thomais01,44:00,9,21,.429,2,4,.500,3,6,.500,3,4,7,11,1,2,7,6,23
edwarja01,38:00,12,23,.522,0,0,,2,3,.667,2,2,4,0,0,1,1,5,26
rodmade01,25:00,0,1,.000,0,0,,1,2,.500,2,6,8,1,0,0,2,4,1
sallejo01,32:00,1,3,.333,0,0,,3,5,.600,2,4,6,0,0,3,1,1,5
aguirma01,20:00,2,9,.222,0,1,.000,2,2,1.000,0,1,1,1,0,0,2,2,6
johnsvi01,16:00,1,4,.250,0,0,,0,0,,1,0,1,0,0,1,2,3,2
Team Totals,265,41,90,.456,8,14,.571,15,23,.652,15,29,44,25,2,7,18,28,105
