Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
grantho01,41:00,5,12,.417,0,0,,5,6,.833,5,8,13,0,1,0,3,2,15
jordami01,40:00,11,25,.440,1,1,1.000,4,8,.500,6,7,13,7,2,0,4,2,27
pippesc01,35:00,7,20,.350,0,1,.000,0,0,,2,9,11,5,1,1,4,3,14
cartwbi01,33:00,4,11,.364,0,0,,0,0,,6,7,13,1,3,1,2,4,8
paxsojo01,18:00,4,10,.400,0,2,.000,0,0,,0,0,0,3,0,0,1,0,8
hodgecr01,26:00,5,9,.556,1,2,.500,0,0,,0,1,1,3,1,0,1,0,11
kingst01,13:00,1,5,.200,0,0,,3,4,.750,2,4,6,0,0,1,1,4,5
davisch02,13:00,2,3,.667,0,0,,0,0,,0,1,1,0,0,2,0,0,4
armstbj01,12:00,1,2,.500,0,0,,1,2,.500,1,2,3,1,0,0,0,2,3
nealyed01,6:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
perduwi01,3:00,0,2,.000,0,0,,1,2,.500,0,0,0,0,0,0,0,2,1
Team Totals,240,40,99,.404,2,6,.333,14,22,.636,22,39,61,20,8,5,16,19,96
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
smithke01,43:00,10,19,.526,1,2,.500,1,1,1.000,0,3,3,6,0,0,0,1,22
tisdawa01,42:00,8,17,.471,0,0,,3,4,.750,2,8,10,2,1,0,1,3,19
mccraro01,41:00,9,18,.500,0,1,.000,3,4,.750,2,5,7,2,1,0,2,1,21
aingeda01,35:00,5,17,.294,0,4,.000,0,1,.000,2,3,5,6,2,0,4,4,10
sampsra01,26:00,0,3,.000,0,0,,2,2,1.000,0,10,10,1,1,1,0,3,2
pressha01,19:00,4,6,.667,0,0,,0,0,,0,3,3,2,3,0,1,1,8
delnevi01,18:00,3,7,.429,0,1,.000,0,0,,0,4,4,1,0,0,2,2,6
ellispe01,13:00,2,4,.500,0,0,,2,3,.667,1,1,2,1,0,1,1,4,6
allenra01,3:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
Team Totals,240,41,91,.451,1,8,.125,11,15,.733,7,38,45,21,8,2,11,20,94
