Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ellisda01,43:00,14,33,.424,2,8,.250,2,3,.667,8,1,9,1,0,0,0,3,32
mcdanxa01,36:00,7,17,.412,0,0,,1,2,.500,2,5,7,0,1,0,6,5,15
cagemi01,36:00,3,9,.333,0,0,,1,2,.500,2,7,9,1,3,0,1,3,7
mckeyde01,31:00,6,14,.429,0,1,.000,0,0,,0,1,1,2,1,0,7,4,12
mcmilna01,31:00,3,7,.429,0,0,,0,0,,2,2,4,7,2,0,2,2,6
threase01,15:00,2,4,.500,0,0,,3,3,1.000,0,1,1,1,2,0,0,4,7
kempsh01,13:00,2,5,.400,0,0,,1,1,1.000,1,0,1,0,3,1,1,2,5
johnsav01,11:00,2,3,.667,0,0,,2,2,1.000,2,0,2,4,0,0,0,0,6
barroda01,11:00,2,5,.400,1,2,.500,0,0,,0,0,0,2,0,0,1,0,5
sellebr01,8:00,1,5,.200,0,0,,0,0,,0,2,2,0,0,0,1,1,2
polynol01,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,0,0
Team Totals,240,42,103,.408,3,11,.273,10,13,.769,17,19,36,18,13,1,19,24,97
Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
birdla01,46:00,17,27,.630,2,5,.400,4,4,1.000,3,8,11,10,1,2,5,2,40
johnsde01,38:00,2,10,.200,0,1,.000,2,2,1.000,0,4,4,12,3,0,1,3,6
paxsoji02,37:00,7,12,.583,1,1,1.000,0,0,,1,2,3,2,0,0,0,3,15
parisro01,28:00,2,8,.250,0,0,,1,1,1.000,4,5,9,1,1,1,3,2,5
pincked01,26:00,3,4,.750,0,0,,8,8,1.000,3,2,5,1,1,0,2,2,14
mchalke01,24:00,5,10,.500,0,0,,6,8,.750,3,8,11,2,1,1,7,2,16
kleinjo01,20:00,0,3,.000,0,0,,3,4,.750,1,3,4,0,0,2,3,4,3
gamblke01,11:00,2,5,.400,0,0,,3,4,.750,0,2,2,1,0,0,1,2,7
upshake01,10:00,1,1,1.000,0,0,,1,1,1.000,0,0,0,3,0,0,3,2,3
Team Totals,240,39,80,.488,3,7,.429,28,32,.875,15,34,49,32,7,6,25,22,109
