Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
seikaro01,37:00,6,18,.333,0,0,,5,12,.417,5,11,16,0,0,1,7,2,17
ricegl01,32:00,8,14,.571,0,0,,3,4,.750,0,3,3,3,3,1,1,4,19
douglsh01,27:00,4,12,.333,0,0,,1,3,.333,1,1,2,7,2,0,0,0,9
longgr01,23:00,5,7,.714,0,0,,0,0,,2,1,3,2,1,0,1,6,10
edwarke01,21:00,3,6,.500,0,0,,0,0,,1,3,4,2,2,0,2,0,6
sundvjo01,25:00,5,10,.500,1,2,.500,0,0,,0,1,1,2,2,0,1,2,11
thompbi01,24:00,3,7,.429,0,0,,0,2,.000,1,4,5,2,0,0,1,2,6
frankte01,21:00,2,4,.500,0,0,,0,0,,1,0,1,1,0,0,1,5,4
sparrro01,20:00,4,6,.667,0,2,.000,4,5,.800,0,1,1,3,0,0,0,4,12
cummipa01,4:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0
daviste01,3:00,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,0,1,0,2,4
haffnsc01,3:00,0,0,,0,0,,0,0,,0,1,1,3,0,0,1,0,0
Team Totals,240,41,85,.482,1,4,.250,15,28,.536,11,29,40,26,10,3,15,28,98
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
malonka01,38:00,12,17,.706,0,0,,9,14,.643,5,10,15,6,2,1,4,2,33
stockjo01,33:00,3,8,.375,1,2,.500,4,5,.800,0,1,1,17,4,0,4,5,11
eatonma01,30:00,4,6,.667,0,0,,0,1,.000,2,9,11,0,0,4,2,2,8
edwarbl01,23:00,5,6,.833,0,0,,4,4,1.000,0,3,3,2,0,0,5,5,14
hansebo01,17:00,3,7,.429,1,3,.333,0,0,,0,0,0,2,0,0,1,3,7
baileth01,25:00,2,8,.250,0,0,,1,2,.500,1,2,3,0,0,1,1,1,5
griffda01,24:00,6,10,.600,2,5,.400,2,2,1.000,0,2,2,0,2,1,0,1,16
ruddde01,18:00,2,6,.333,0,0,,0,0,,0,1,1,6,0,0,0,0,4
brownmi01,14:00,3,5,.600,0,0,,5,6,.833,2,1,3,0,0,1,1,2,11
leckner01,12:00,2,5,.400,0,0,,0,2,.000,2,3,5,0,0,1,0,3,4
ortizjo01,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,1,0,2
johnser01,3:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
Team Totals,240,44,80,.550,4,10,.400,25,36,.694,12,32,44,33,9,9,19,24,117
