Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hardati01,34:00,4,11,.364,0,0,,0,0,,2,5,7,14,3,0,3,1,8
richmmi01,30:00,8,19,.421,3,6,.500,4,5,.800,1,0,1,2,2,0,1,2,23
teaglte01,29:00,3,11,.273,0,0,,1,2,.500,0,3,3,0,1,0,0,3,7
mullich01,26:00,4,13,.308,1,4,.250,7,8,.875,5,1,6,0,0,1,1,0,16
blabuw01,9:00,0,1,.000,0,0,,0,0,,0,1,1,1,0,0,0,1,0
marcisa01,29:00,11,20,.550,1,3,.333,4,5,.800,3,2,5,2,3,0,2,2,27
bolma01,23:00,1,2,.500,0,1,.000,0,0,,0,2,2,2,0,6,1,1,2
higgiro01,20:00,3,8,.375,0,3,.000,0,2,.000,2,3,5,0,1,0,0,0,6
garlawi01,20:00,2,5,.400,0,0,,0,0,,1,1,2,2,0,1,2,2,4
tolbeto01,15:00,4,5,.800,1,1,1.000,3,5,.600,3,1,4,0,0,1,2,3,12
shaskjo01,5:00,1,2,.500,0,0,,0,1,.000,1,0,1,1,0,0,0,0,2
Team Totals,240,41,97,.423,6,18,.333,19,28,.679,18,19,37,24,10,9,12,15,107
Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
jordami01,33:00,17,30,.567,7,12,.583,3,3,1.000,3,9,12,8,1,2,2,3,44
grantho01,29:00,8,12,.667,0,0,,3,3,1.000,1,4,5,3,0,2,1,3,19
pippesc01,29:00,7,9,.778,0,0,,1,2,.500,0,3,3,8,1,2,2,4,15
paxsojo01,26:00,4,7,.571,1,2,.500,0,0,,1,1,2,10,2,0,0,1,9
cartwbi01,19:00,4,6,.667,0,0,,2,2,1.000,2,3,5,2,0,0,0,1,10
kingst01,28:00,5,10,.500,0,0,,2,2,1.000,1,9,10,0,0,2,1,2,12
armstbj01,23:00,3,9,.333,0,0,,0,0,,1,3,4,4,1,0,2,2,6
hodgecr01,14:00,3,4,.750,3,3,1.000,0,0,,1,1,2,5,1,0,0,2,9
sandeje01,13:00,1,3,.333,0,0,,0,0,,2,1,3,1,1,1,1,2,2
perduwi01,12:00,2,5,.400,0,0,,0,0,,1,2,3,0,2,0,2,1,4
nealyed01,11:00,0,0,,0,0,,2,2,1.000,1,3,4,1,0,0,1,3,2
davisch02,3:00,0,6,.000,0,4,.000,0,0,,3,0,3,0,0,0,1,2,0
Team Totals,240,54,101,.535,11,21,.524,13,14,.929,17,39,56,42,9,9,13,26,132
