Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ehlocr01,39:00,5,14,.357,1,3,.333,0,0,,4,2,6,9,0,2,2,2,11
pricema01,37:00,7,16,.438,3,8,.375,1,2,.500,0,6,6,10,3,0,3,0,18
nancela01,35:00,8,15,.533,0,0,,5,6,.833,2,7,9,1,1,1,2,5,21
brownch01,6:00,0,1,.000,0,0,,2,2,1.000,0,0,0,0,1,0,1,1,2
rollitr01,6:00,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,1,0
williho01,40:00,6,16,.375,0,0,,2,5,.400,4,8,12,4,4,1,0,3,14
keysra01,34:00,9,13,.692,1,2,.500,3,4,.750,4,4,8,2,0,0,1,5,22
mortojo01,20:00,4,8,.500,0,2,.000,0,0,,1,1,2,3,1,0,3,2,8
dudlech02,15:00,2,6,.333,0,0,,0,0,,1,0,1,1,1,0,3,5,4
kerrst01,8:00,0,2,.000,0,1,.000,1,1,1.000,0,1,1,1,0,0,0,1,1
Team Totals,240,41,91,.451,5,16,.313,14,20,.700,16,29,45,32,11,4,15,25,101
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robinda01,38:00,9,17,.529,0,0,,14,18,.778,1,11,12,0,0,1,8,3,32
cheekma01,38:00,4,8,.500,0,0,,0,0,,1,4,5,10,4,0,2,1,8
cummite01,37:00,12,23,.522,1,2,.500,4,6,.667,2,5,7,3,1,0,2,4,29
anderwi01,29:00,5,12,.417,0,0,,7,8,.875,2,4,6,6,0,0,2,5,17
elliose01,20:00,3,5,.600,0,0,,0,0,,4,2,6,1,0,0,1,2,6
maxweve01,34:00,2,8,.250,0,1,.000,2,2,1.000,1,3,4,4,1,0,0,3,6
wingada01,21:00,1,5,.200,0,0,,0,0,,3,1,4,2,4,0,2,0,2
brickfr01,16:00,1,3,.333,0,0,,2,2,1.000,0,3,3,0,1,0,1,4,4
jonesca01,5:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,1,0,0
moorejo01,2:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,37,83,.446,1,4,.250,29,36,.806,14,33,47,26,11,1,19,22,104
