Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
englial01,43:00,14,23,.609,0,0,,10,10,1.000,1,7,8,3,0,2,4,3,38
leverfa01,43:00,8,20,.400,0,0,,10,13,.769,3,11,14,6,3,1,2,3,26
adamsmi01,39:00,5,11,.455,1,5,.200,8,11,.727,0,0,0,7,4,0,0,3,19
rasmubl01,15:00,3,7,.429,0,0,,2,2,1.000,0,6,6,1,0,2,0,5,8
laneje01,11:00,3,5,.600,0,0,,1,2,.500,1,0,1,0,0,0,1,1,7
kemptti01,26:00,7,13,.538,0,0,,1,1,1.000,0,5,5,1,1,0,2,6,15
hanzlbi01,18:00,1,1,1.000,0,0,,1,2,.500,0,2,2,0,1,0,0,5,3
lichtto01,18:00,1,3,.333,0,0,,0,0,,0,0,0,1,1,0,4,3,2
dunntr01,14:00,2,3,.667,0,0,,0,0,,0,2,2,2,1,0,0,2,4
schayda01,13:00,1,1,1.000,0,0,,2,2,1.000,0,2,2,0,0,0,0,2,4
Team Totals,240,45,87,.517,1,5,.200,35,43,.814,5,35,40,21,11,5,13,33,126
New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
connele01,41:00,5,11,.455,0,1,.000,2,3,.667,2,4,6,6,3,1,5,2,12
hopsode01,39:00,3,9,.333,1,1,1.000,0,2,.000,0,3,3,2,0,2,4,3,7
morrich01,36:00,6,17,.353,1,2,.500,3,5,.600,5,4,9,3,1,2,3,4,16
bowiesa01,32:00,8,18,.444,1,2,.500,7,8,.875,5,10,15,1,1,0,3,2,24
shackch01,19:00,4,8,.500,0,0,,0,2,.000,1,9,10,1,0,0,1,4,8
shortpu01,27:00,10,14,.714,1,1,1.000,8,10,.800,1,3,4,2,1,1,1,5,29
carrojo01,16:00,1,6,.167,0,0,,5,6,.833,0,4,4,0,1,0,1,3,7
jacksja01,7:00,0,3,.000,0,0,,2,2,1.000,0,1,1,0,0,0,0,0,2
woodle01,7:00,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,0,1,4,2
haleyja01,6:00,0,0,,0,0,,1,2,.500,0,1,1,0,0,0,1,1,1
masonan01,6:00,0,1,.000,0,0,,0,0,,1,0,1,1,0,0,1,0,0
gervide01,4:00,3,5,.600,0,0,,3,3,1.000,2,0,2,0,0,0,0,2,9
Team Totals,240,40,93,.430,4,7,.571,33,45,.733,17,39,56,17,7,6,21,30,117
