Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mullich01,39:00,12,20,.600,0,2,.000,6,6,1.000,2,5,7,8,1,0,2,0,30
richmmi01,38:00,6,13,.462,0,0,,7,10,.700,1,4,5,3,3,0,4,2,19
teaglte01,33:00,8,16,.500,0,0,,3,3,1.000,0,3,3,2,0,0,2,1,19
hardati01,33:00,4,15,.267,1,2,.500,3,4,.750,0,1,1,4,4,0,2,2,12
bolma01,21:00,1,1,1.000,0,0,,0,0,,0,4,4,0,0,7,1,5,2
marcisa01,25:00,2,5,.400,0,0,,6,10,.600,1,1,2,1,0,0,1,3,10
tolbeto01,24:00,4,9,.444,0,0,,0,0,,1,2,3,1,0,0,2,4,8
higgiro01,9:00,3,5,.600,0,0,,1,2,.500,0,1,1,1,0,0,0,1,7
upshake01,9:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,0,1,1,0
welpch01,5:00,2,2,1.000,0,0,,0,0,,2,1,3,1,0,0,1,3,4
peterji01,4:00,2,2,1.000,0,0,,0,0,,0,1,1,0,0,0,0,2,4
Team Totals,240,44,90,.489,1,5,.200,26,35,.743,7,23,30,21,9,7,16,24,115
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robinda01,41:00,12,21,.571,0,0,,17,22,.773,5,12,17,2,3,5,4,5,41
anderwi01,39:00,5,14,.357,0,1,.000,2,2,1.000,0,5,5,6,1,2,4,4,12
cummite01,37:00,13,23,.565,1,1,1.000,2,2,1.000,6,6,12,3,2,1,3,4,29
elliose01,32:00,6,8,.750,0,0,,0,0,,2,6,8,3,1,1,2,2,12
moorejo01,25:00,5,9,.556,1,2,.500,0,0,,0,2,2,6,2,0,0,2,11
stricro02,29:00,4,8,.500,0,0,,2,8,.250,0,3,3,9,1,0,1,4,10
wingada01,24:00,4,7,.571,0,0,,2,4,.500,0,3,3,3,2,0,2,6,10
jonesca01,13:00,2,2,1.000,0,0,,2,2,1.000,1,0,1,0,1,0,1,0,6
Team Totals,240,51,92,.554,2,4,.500,27,40,.675,14,37,51,32,13,9,17,27,131
