Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
theusre01,33:00,5,15,.333,0,1,.000,2,4,.500,0,1,1,10,0,1,4,1,12
catlete01,31:00,8,20,.400,0,0,,2,4,.500,7,9,16,2,1,0,5,4,18
wileymo01,29:00,6,8,.750,1,2,.500,0,0,,1,0,1,3,0,0,4,1,13
reynoje01,18:00,3,11,.273,0,0,,1,2,.500,2,3,5,0,1,0,3,2,7
acresma01,16:00,0,2,.000,0,0,,0,0,,1,4,5,0,2,0,0,3,0
anslemi01,29:00,8,13,.615,0,0,,1,2,.500,4,4,8,1,1,2,0,5,17
anderni01,26:00,2,9,.222,0,0,,2,2,1.000,1,3,4,2,2,1,3,2,6
greensi02,24:00,5,11,.455,0,0,,5,6,.833,3,8,11,0,0,2,1,4,15
skilesc01,19:00,3,8,.375,1,3,.333,2,2,1.000,0,1,1,4,0,0,1,2,9
turneje01,15:00,2,3,.667,0,0,,0,0,,3,1,4,0,0,0,0,4,4
Team Totals,240,42,100,.420,2,6,.333,15,22,.682,22,34,56,22,7,6,21,28,101
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
normake01,39:00,9,18,.500,0,0,,2,4,.500,1,8,9,4,0,0,4,4,20
garlawi01,36:00,9,14,.643,0,1,.000,3,4,.750,1,4,5,9,3,0,3,2,21
garrito01,32:00,2,6,.333,0,0,,0,0,,2,3,5,4,4,0,2,2,4
benjabe01,31:00,6,16,.375,0,0,,7,12,.583,5,4,9,2,2,2,2,1,19
smithch01,29:00,6,15,.400,0,0,,7,9,.778,4,6,10,2,0,3,3,2,19
mannida01,20:00,4,6,.667,0,0,,5,9,.556,0,3,3,0,2,1,1,2,13
martije01,19:00,2,6,.333,1,1,1.000,2,2,1.000,2,1,3,0,0,0,1,3,7
bannike01,15:00,1,1,1.000,0,0,,0,2,.000,0,3,3,1,1,0,0,2,2
wolfjo01,8:00,0,4,.000,0,0,,2,2,1.000,1,2,3,0,0,0,0,1,2
riverda01,5:00,1,2,.500,0,1,.000,0,0,,0,0,0,1,0,0,0,1,2
harrist01,4:00,0,2,.000,0,0,,3,4,.750,0,0,0,0,0,0,0,0,3
youngmi01,2:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,40,92,.435,1,3,.333,31,48,.646,16,34,50,23,12,6,16,20,112
