Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
garlawi01,37:00,8,14,.571,2,2,1.000,5,5,1.000,0,1,1,1,1,0,1,3,23
normake01,34:00,7,11,.636,1,1,1.000,2,2,1.000,3,4,7,3,0,0,2,4,17
smithch01,33:00,7,12,.583,0,0,,6,7,.857,2,3,5,2,3,3,3,5,20
benjabe01,21:00,3,5,.600,0,0,,0,0,,1,3,4,0,1,2,1,1,6
martije01,6:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,1,1,1,0,0
garrito01,35:00,4,9,.444,0,0,,3,3,1.000,0,3,3,6,2,0,1,2,11
mannida01,33:00,7,13,.538,0,0,,0,0,,4,3,7,4,1,1,3,2,14
wolfjo01,18:00,2,6,.333,0,2,.000,3,3,1.000,1,3,4,2,0,1,1,1,7
riverda01,11:00,1,1,1.000,0,0,,0,0,,0,0,0,1,2,0,1,2,2
harrist01,8:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,0,1,1,0
bannike01,4:00,1,2,.500,0,0,,0,0,,1,0,1,1,0,0,0,0,2
Team Totals,240,40,77,.519,3,6,.500,19,20,.950,12,20,32,20,11,8,15,21,102
Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
stockjo01,42:00,8,11,.727,3,3,1.000,4,6,.667,0,1,1,17,3,1,3,1,23
malonka01,40:00,12,19,.632,0,0,,4,7,.571,1,5,6,2,1,0,3,5,28
baileth01,36:00,9,12,.750,0,0,,3,4,.750,2,4,6,7,0,1,1,2,21
eatonma01,24:00,2,3,.667,0,0,,0,0,,1,2,3,0,1,3,0,3,4
hansebo01,22:00,1,5,.200,0,0,,1,3,.333,1,4,5,3,0,0,0,1,3
griffda01,25:00,6,10,.600,3,5,.600,2,2,1.000,1,2,3,4,2,0,0,0,17
brownmi01,23:00,2,7,.286,0,0,,2,3,.667,5,3,8,0,2,0,1,2,6
edwarbl01,12:00,2,4,.500,0,0,,2,2,1.000,0,0,0,3,1,0,3,2,6
leckner01,8:00,4,6,.667,0,0,,0,1,.000,1,1,2,0,1,0,1,1,8
ruddde01,6:00,0,2,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,0,0
johnser01,1:00,1,1,1.000,0,0,,0,0,,1,0,1,0,0,0,0,0,2
brownra01,1:00,0,3,.000,0,0,,0,0,,1,0,1,0,0,0,0,0,0
Team Totals,240,47,83,.566,6,9,.667,18,28,.643,14,22,36,36,11,5,13,17,118
