Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
smithch01,36:00,10,11,.909,0,0,,3,6,.500,4,4,8,2,3,0,3,2,23
mannida01,31:00,4,14,.286,0,0,,2,3,.667,5,3,8,0,0,0,3,2,10
benjabe01,29:00,5,12,.417,0,1,.000,5,6,.833,3,6,9,1,0,0,2,2,15
martije01,21:00,2,8,.250,0,0,,0,0,,1,0,1,1,1,0,2,1,4
garrito01,18:00,1,3,.333,0,1,.000,2,2,1.000,1,3,4,2,2,0,0,1,4
youngmi01,24:00,2,9,.222,1,2,.500,0,0,,0,0,0,2,0,0,0,1,5
garlawi01,23:00,2,10,.200,0,2,.000,2,2,1.000,1,1,2,3,3,0,2,1,6
wolfjo01,21:00,5,11,.455,3,6,.500,1,2,.500,1,0,1,1,1,0,1,0,14
harrist01,16:00,4,10,.400,0,0,,0,0,,1,1,2,0,2,0,0,2,8
bannike01,14:00,3,6,.500,0,0,,0,4,.000,5,3,8,0,0,1,0,2,6
riverda01,7:00,1,2,.500,0,0,,2,2,1.000,0,2,2,2,0,0,1,0,4
Team Totals,240,39,96,.406,4,12,.333,17,27,.630,22,23,45,14,12,1,14,14,99
Seattle SuperSonics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ellisda01,35:00,13,16,.813,9,11,.818,1,1,1.000,0,4,4,3,0,0,3,1,36
cagemi01,35:00,8,12,.667,0,0,,2,4,.500,2,10,12,2,4,1,2,5,18
mckeyde01,33:00,6,10,.600,0,1,.000,3,4,.750,1,3,4,6,2,0,1,4,15
mcmilna01,32:00,2,3,.667,0,1,.000,1,2,.500,0,3,3,10,3,1,1,2,5
mcdanxa01,30:00,7,13,.538,1,1,1.000,0,0,,2,0,2,1,1,0,2,1,15
barroda01,18:00,4,8,.500,2,6,.333,0,0,,0,1,1,1,0,0,4,1,10
dailequ01,14:00,0,4,.000,0,0,,4,4,1.000,0,4,4,1,0,0,3,1,4
kempsh01,13:00,2,5,.400,0,2,.000,2,2,1.000,0,2,2,0,0,0,1,2,6
threase01,12:00,1,3,.333,0,0,,0,0,,1,1,2,5,1,0,2,2,2
polynol01,8:00,2,3,.667,0,0,,0,0,,0,4,4,0,0,0,0,0,4
johnsst03,5:00,2,3,.667,0,0,,0,0,,0,1,1,0,0,1,0,2,4
farmeji01,5:00,1,1,1.000,0,0,,0,0,,1,0,1,2,0,0,0,0,2
Team Totals,240,48,81,.593,12,22,.545,13,17,.765,7,33,40,31,11,3,19,21,121
