Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
smithch01,44:00,7,15,.467,0,0,,4,4,1.000,4,6,10,1,0,1,5,2,18
martije01,43:00,2,6,.333,0,0,,2,4,.500,1,5,6,1,0,0,0,3,6
benjabe01,41:00,13,18,.722,0,0,,1,2,.500,2,9,11,1,1,4,2,2,27
normake01,37:00,6,12,.500,0,0,,2,3,.667,0,9,9,4,1,2,2,3,14
grantga01,35:00,4,9,.444,0,0,,1,2,.500,1,3,4,14,0,0,3,2,9
mannida01,31:00,11,17,.647,0,0,,3,9,.333,4,4,8,3,1,0,2,3,25
garlawi01,30:00,8,11,.727,0,0,,2,6,.333,0,2,2,10,2,0,2,3,18
vaughlo01,2:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,0,0,2
garrito01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,265,52,90,.578,0,0,,15,30,.500,13,38,51,34,5,7,16,18,119
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mccraro01,47:00,4,10,.400,1,1,1.000,4,4,1.000,2,8,10,2,0,2,3,5,13
blackro01,46:00,11,26,.423,0,0,,3,4,.750,1,2,3,4,1,0,2,1,25
donalja01,44:00,11,19,.579,0,0,,3,3,1.000,7,11,18,1,0,0,2,2,25
harpede01,42:00,6,15,.400,1,4,.250,0,0,,0,2,2,5,2,0,3,1,13
englial01,34:00,4,12,.333,0,0,,0,0,,2,3,5,5,3,0,0,4,8
whitera01,27:00,5,12,.417,0,2,.000,3,4,.750,2,9,11,0,2,0,0,6,13
davisbr01,20:00,3,6,.500,2,4,.500,2,2,1.000,0,0,0,1,0,0,0,5,10
shaskjo01,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
alforst01,1:00,2,2,1.000,1,1,1.000,0,0,,0,0,0,0,0,0,0,0,5
Team Totals,265,46,102,.451,5,12,.417,15,17,.882,14,35,49,18,8,2,10,25,112
