Milwaukee Bucks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
roberal01,30:00,6,9,.667,0,0,,6,10,.600,1,3,4,6,1,0,3,1,18
humphja01,29:00,3,5,.600,0,1,.000,2,3,.667,0,1,1,3,0,0,4,4,8
roberfr01,29:00,0,4,.000,0,0,,5,8,.625,3,2,5,4,1,1,3,1,5
brickfr01,26:00,3,9,.333,0,0,,6,7,.857,3,3,6,3,0,1,2,5,12
sikmaja01,16:00,4,9,.444,0,0,,2,2,1.000,1,3,4,1,1,0,2,4,10
schayda01,34:00,6,10,.600,0,0,,13,15,.867,10,3,13,1,3,0,5,3,25
piercri01,24:00,5,12,.417,0,2,.000,2,2,1.000,0,5,5,2,1,0,2,1,12
grayeje01,16:00,2,8,.250,0,0,,0,0,,1,0,1,0,0,0,1,0,4
lohaubr01,14:00,0,2,.000,0,0,,0,0,,0,1,1,0,0,0,1,2,0
hensost01,10:00,2,5,.400,0,1,.000,0,0,,0,1,1,1,0,0,0,2,4
connele01,9:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,2,0,0
kornefr01,3:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,31,75,.413,0,5,.000,36,47,.766,19,22,41,21,8,2,25,23,98
Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mullich01,44:00,11,18,.611,0,2,.000,7,8,.875,4,3,7,5,6,0,2,4,29
hardati01,42:00,11,17,.647,3,5,.600,6,6,1.000,0,5,5,14,4,0,2,1,31
richmmi01,36:00,11,22,.500,2,3,.667,0,0,,3,3,6,5,1,1,4,4,24
tolbeto01,15:00,2,7,.286,0,0,,0,0,,1,3,4,0,0,1,3,5,4
listeal01,9:00,0,1,.000,0,0,,2,2,1.000,1,2,3,0,0,0,1,3,2
higgiro01,24:00,7,8,.875,3,4,.750,0,0,,0,3,3,2,0,1,1,3,17
hillty01,23:00,4,8,.500,0,0,,2,2,1.000,3,3,6,0,0,1,1,5,10
peterji01,13:00,1,1,1.000,0,0,,0,0,,2,1,3,1,0,0,1,5,2
mokespa01,12:00,0,1,.000,0,0,,0,0,,1,2,3,0,0,1,1,4,0
robinla01,10:00,3,4,.750,0,0,,0,0,,0,1,1,0,0,0,0,2,6
pritcke01,10:00,1,4,.250,0,0,,0,0,,0,1,1,1,0,0,1,1,2
jepsele01,2:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,1,0,0,0
Team Totals,240,51,93,.548,8,14,.571,17,18,.944,16,28,44,28,11,6,17,37,127
