Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
worthja01,41:00,10,22,.455,0,1,.000,1,2,.500,1,4,5,4,1,0,3,0,21
johnsma02,40:00,4,7,.571,2,4,.500,4,4,1.000,0,3,3,15,1,0,6,3,14
perkisa01,35:00,10,15,.667,0,0,,6,7,.857,4,2,6,0,0,1,6,3,26
divacvl01,30:00,2,4,.500,0,0,,0,0,,3,6,9,3,0,2,1,4,4
scottby01,29:00,3,6,.500,0,1,.000,0,0,,0,1,1,0,2,0,1,3,6
greenac01,31:00,4,10,.400,0,1,.000,4,5,.800,2,7,9,0,0,0,0,3,12
teaglte01,19:00,4,8,.500,0,0,,0,0,,0,0,0,4,0,0,0,1,8
smithto02,8:00,1,2,.500,0,0,,0,0,,0,0,0,2,0,0,0,1,2
thompmy01,7:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,0,0,1,2
Team Totals,240,39,75,.520,2,7,.286,15,18,.833,10,25,35,28,4,3,17,19,95
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mcdanxa01,39:00,3,11,.273,0,0,,0,0,,2,2,4,0,1,0,3,2,6
chambto01,37:00,7,17,.412,0,1,.000,4,4,1.000,1,5,6,1,3,0,2,3,18
johnske02,36:00,14,23,.609,0,1,.000,7,7,1.000,0,3,3,7,1,0,4,3,35
hornaje01,36:00,8,11,.727,2,2,1.000,5,5,1.000,1,1,2,7,1,0,0,1,23
westma01,32:00,4,5,.800,0,0,,0,1,.000,3,10,13,1,1,2,0,1,8
majerda01,24:00,0,8,.000,0,2,.000,3,4,.750,1,1,2,5,2,0,1,2,3
rambiku01,19:00,1,1,1.000,0,0,,0,0,,0,2,2,0,1,0,2,2,2
langan01,13:00,2,2,1.000,0,0,,0,0,,1,1,2,0,0,0,0,1,4
nealyed01,4:00,0,0,,0,0,,0,0,,0,1,1,1,0,0,0,1,0
Team Totals,240,39,78,.500,2,6,.333,19,21,.905,9,26,35,22,10,2,12,16,99
