San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
anderwi01,41:00,10,20,.500,0,1,.000,5,6,.833,2,5,7,6,2,1,0,2,25
robinda01,39:00,7,17,.412,0,0,,6,8,.750,2,10,12,2,1,1,3,3,20
elliose01,38:00,4,8,.500,0,0,,6,6,1.000,2,4,6,4,0,0,3,6,14
presspa01,38:00,4,10,.400,0,0,,1,2,.500,2,1,3,4,5,0,3,1,9
greensi02,22:00,3,7,.429,0,0,,4,4,1.000,2,6,8,0,0,0,4,4,10
cummite01,27:00,5,15,.333,0,1,.000,1,2,.500,2,6,8,3,0,0,2,3,11
johnsav01,21:00,1,6,.167,0,0,,2,3,.667,1,0,1,2,0,0,2,0,4
greenda01,14:00,0,2,.000,0,0,,2,2,1.000,1,2,3,0,0,1,1,3,2
Team Totals,240,34,85,.400,0,2,.000,27,33,.818,14,34,48,21,8,3,18,22,95
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
duckwke01,41:00,9,18,.500,0,1,.000,0,2,.000,1,6,7,0,0,2,3,6,18
portete01,37:00,6,13,.462,3,9,.333,1,2,.500,1,2,3,8,0,0,1,2,16
drexlcl01,34:00,7,18,.389,0,7,.000,3,3,1.000,5,3,8,4,0,1,3,3,17
willibu01,34:00,3,5,.600,0,0,,3,5,.600,4,5,9,2,0,0,3,5,9
kerseje01,13:00,1,4,.250,0,0,,0,0,,0,2,2,2,3,0,2,4,2
robincl02,31:00,4,13,.308,0,0,,1,3,.333,2,6,8,1,1,2,5,2,9
aingeda01,25:00,2,8,.250,0,2,.000,1,2,.500,0,3,3,4,0,1,3,5,5
daviswa03,18:00,3,4,.750,0,0,,1,1,1.000,0,2,2,2,0,0,1,1,7
youngda01,7:00,1,3,.333,1,2,.500,2,2,1.000,0,2,2,1,0,0,0,0,5
Team Totals,240,36,86,.419,4,21,.190,12,20,.600,13,31,44,24,4,6,21,28,88
