Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
drexlcl01,44:00,5,17,.294,1,4,.250,0,0,,5,9,14,11,1,0,2,4,11
willibu01,42:00,5,7,.714,0,0,,2,3,.667,6,11,17,0,0,1,2,5,12
portete01,39:00,10,17,.588,4,6,.667,4,5,.800,1,4,5,8,2,1,1,1,28
kerseje01,32:00,1,9,.111,0,0,,2,4,.500,2,3,5,0,0,1,1,6,4
duckwke01,26:00,3,13,.231,0,0,,4,4,1.000,1,1,2,0,0,1,3,3,10
robincl02,29:00,5,8,.625,0,0,,3,4,.750,2,4,6,0,2,2,2,6,13
aingeda01,27:00,7,19,.368,3,8,.375,2,2,1.000,0,1,1,2,1,0,3,2,19
coopewa01,12:00,0,0,,0,0,,0,0,,0,3,3,1,0,3,0,3,0
daviswa03,8:00,2,5,.400,0,0,,0,0,,0,0,0,0,0,0,0,1,4
youngda01,6:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0
Team Totals,265,38,97,.392,8,18,.444,17,22,.773,17,37,54,23,6,9,14,31,101
San Antonio Spurs
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
robinda01,48:00,9,22,.409,0,0,,7,13,.538,8,13,21,1,0,6,3,2,25
anderwi01,46:00,5,20,.250,0,0,,6,10,.600,2,5,7,7,2,1,1,3,16
elliose01,41:00,9,14,.643,1,2,.500,6,6,1.000,2,6,8,2,2,0,3,5,25
presspa01,40:00,2,6,.333,1,1,1.000,1,2,.500,1,3,4,6,0,0,3,2,6
greensi02,30:00,5,9,.556,0,0,,2,4,.500,3,9,12,1,0,0,1,5,12
cummite01,32:00,3,11,.273,0,0,,4,7,.571,3,5,8,3,1,0,1,6,10
johnsav01,17:00,3,7,.429,0,0,,0,0,,0,0,0,1,0,0,1,0,6
greenda01,9:00,0,1,.000,0,0,,2,2,1.000,0,0,0,1,0,0,1,0,2
schindw01,2:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,265,36,90,.400,2,3,.667,28,44,.636,19,41,60,22,5,7,14,23,102
