Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
pippesc01,45:00,12,23,.522,0,1,.000,7,8,.875,4,4,8,5,0,2,2,5,31
jordami01,43:00,20,30,.667,0,0,,16,18,.889,1,4,5,5,4,2,2,3,56
grantho01,42:00,4,9,.444,0,0,,0,0,,5,3,8,3,2,0,1,2,8
cartwbi01,33:00,0,3,.000,0,0,,1,4,.250,1,4,5,2,0,0,1,5,1
paxsojo01,22:00,1,5,.200,0,0,,0,0,,0,1,1,2,0,0,1,3,2
armstbj01,23:00,4,7,.571,1,2,.500,4,4,1.000,0,4,4,4,1,0,0,2,13
levincl01,12:00,0,2,.000,0,0,,0,0,,1,2,3,1,0,0,1,2,0
willisc01,9:00,0,3,.000,0,0,,0,0,,2,4,6,0,0,0,1,3,0
perduwi01,7:00,1,1,1.000,0,0,,0,0,,0,0,0,1,1,0,0,1,2
hodgecr01,4:00,2,3,.667,2,2,1.000,0,0,,0,0,0,0,0,0,0,2,6
Team Totals,240,44,86,.512,3,5,.600,28,34,.824,14,26,40,23,8,4,9,28,119
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
seikaro01,46:00,4,9,.444,0,0,,14,16,.875,3,9,12,1,0,5,3,5,22
longgr01,44:00,7,15,.467,0,2,.000,3,6,.500,2,0,2,3,2,0,1,5,17
ricegl01,42:00,10,26,.385,1,6,.167,4,5,.800,3,3,6,1,0,0,1,2,25
shawbr01,37:00,7,12,.583,2,3,.667,3,4,.750,0,6,6,6,1,0,2,3,19
smithst01,32:00,7,11,.636,4,4,1.000,0,1,.000,2,3,5,6,1,0,1,1,18
colesbi01,16:00,2,2,1.000,0,0,,5,7,.714,0,2,2,1,1,0,2,1,9
edwarke01,12:00,1,1,1.000,0,0,,2,4,.500,0,2,2,1,0,0,2,0,4
askinke01,9:00,0,1,.000,0,0,,0,0,,1,1,2,2,0,0,0,1,0
oggal01,2:00,0,0,,0,0,,0,0,,0,1,1,0,0,1,0,2,0
Team Totals,240,38,77,.494,7,15,.467,31,43,.721,11,27,38,21,5,6,12,20,114
