Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
persoch01,41:00,9,17,.529,3,8,.375,2,2,1.000,2,4,6,3,1,0,3,4,23
willimi02,37:00,4,11,.364,0,2,.000,7,10,.700,0,0,0,10,4,0,3,1,15
smitsri01,33:00,10,15,.667,0,0,,4,5,.800,1,5,6,4,0,3,1,4,24
millere01,33:00,3,7,.429,0,1,.000,2,2,1.000,0,2,2,4,1,1,3,3,8
davisda01,25:00,3,4,.750,0,0,,2,4,.500,3,5,8,1,0,0,0,3,8
flemive01,26:00,5,8,.625,0,0,,6,7,.857,0,4,4,5,1,0,0,2,16
schrede01,24:00,4,11,.364,0,0,,2,2,1.000,4,6,10,0,1,0,1,6,10
thompla01,7:00,1,1,1.000,0,0,,0,0,,0,1,1,1,0,0,0,4,2
willike03,7:00,1,2,.500,0,0,,0,0,,1,0,1,1,0,1,1,1,2
dreilgr01,7:00,0,1,.000,0,0,,0,0,,0,0,0,0,1,0,0,2,0
Team Totals,240,40,77,.519,3,11,.273,25,32,.781,11,27,38,29,9,5,12,30,108
Detroit Pistons
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
dumarjo01,44:00,13,25,.520,3,7,.429,4,4,1.000,3,1,4,1,1,0,3,1,33
aguirma01,42:00,9,22,.409,0,3,.000,3,6,.500,1,3,4,3,2,0,1,3,21
thomais01,35:00,2,8,.250,0,1,.000,2,4,.500,0,1,1,13,0,0,5,4,6
rodmade01,30:00,2,7,.286,0,1,.000,2,4,.500,9,10,19,3,0,0,2,4,6
bedfowi01,16:00,2,3,.667,0,0,,2,4,.500,1,0,1,1,0,1,0,4,6
laimbbi01,32:00,3,10,.300,0,2,.000,2,2,1.000,2,5,7,5,1,1,0,4,8
woolror01,21:00,6,10,.600,0,0,,3,4,.750,2,3,5,0,0,2,1,1,15
walkeda01,14:00,1,4,.250,0,1,.000,1,1,1.000,3,1,4,2,0,0,2,1,3
mccanbo01,3:00,0,0,,0,0,,1,2,.500,1,0,1,0,1,0,0,0,1
blankla01,3:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,1,3,0
Team Totals,240,38,89,.427,3,15,.200,20,31,.645,23,24,47,28,5,4,15,25,99
