Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
gilliar01,36:00,5,10,.500,0,0,,4,6,.667,2,9,11,2,1,1,2,2,14
hawkihe01,32:00,4,9,.444,0,1,.000,9,9,1.000,1,1,2,1,3,0,2,1,17
barklch01,25:00,8,14,.571,1,3,.333,4,8,.500,1,2,3,1,2,0,2,2,21
shackch01,22:00,4,6,.667,0,0,,0,0,,3,5,8,1,0,0,4,3,8
dawkijo01,22:00,2,7,.286,0,1,.000,0,0,,0,2,2,3,0,0,3,2,4
anderro01,35:00,10,18,.556,0,3,.000,2,2,1.000,0,4,4,4,2,0,2,2,22
grantgr01,26:00,3,6,.500,0,0,,2,2,1.000,0,1,1,7,3,1,2,1,8
bolma01,24:00,2,2,1.000,0,0,,2,2,1.000,1,2,3,0,1,4,2,3,6
wiggimi01,16:00,1,3,.333,0,0,,0,0,,0,2,2,2,1,0,2,4,2
hoppeda01,1:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
payneke01,1:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,39,76,.513,1,9,.111,23,29,.793,8,29,37,21,13,6,21,20,102
Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
drexlcl01,34:00,5,14,.357,2,4,.500,5,6,.833,1,3,4,8,2,1,3,0,17
willibu01,33:00,8,10,.800,0,1,.000,3,7,.429,0,4,4,2,5,1,1,4,19
portete01,32:00,7,11,.636,2,4,.500,4,5,.800,0,4,4,11,0,1,2,2,20
kerseje01,29:00,7,10,.700,0,0,,1,1,1.000,2,4,6,5,0,0,0,2,15
duckwke01,27:00,6,8,.750,0,0,,1,2,.500,0,3,3,2,0,2,3,3,13
robincl02,27:00,9,15,.600,0,0,,4,6,.667,2,1,3,1,2,0,3,3,22
aingeda01,19:00,2,6,.333,0,4,.000,1,1,1.000,0,2,2,4,0,0,1,1,5
abdelal01,15:00,1,3,.333,0,0,,0,0,,2,2,4,1,0,0,1,2,2
packro01,14:00,0,4,.000,0,0,,2,2,1.000,0,1,1,1,1,0,4,2,2
coopewa01,10:00,0,3,.000,0,0,,0,0,,3,1,4,1,1,0,0,1,0
Team Totals,240,45,84,.536,4,13,.308,21,30,.700,10,25,35,36,11,5,18,20,115
