Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
andergr01,38:00,6,10,.600,0,1,.000,2,2,1.000,4,11,15,0,1,1,5,3,14
mutomdi01,37:00,10,16,.625,0,0,,4,8,.500,3,5,8,2,1,1,4,5,24
maconma01,30:00,6,12,.500,0,0,,2,2,1.000,5,2,7,3,2,0,3,3,14
willire01,26:00,9,13,.692,1,1,1.000,0,0,,0,0,0,0,1,0,2,5,19
garlawi01,26:00,1,6,.167,0,0,,8,8,1.000,0,1,1,8,0,0,2,3,10
abdulma02,19:00,4,11,.364,0,1,.000,1,2,.500,0,2,2,6,0,0,2,5,9
lichtto01,17:00,5,9,.556,0,0,,1,1,1.000,0,3,3,2,1,0,1,0,11
daviswa03,17:00,3,8,.375,0,0,,1,1,1.000,0,0,0,2,0,0,2,5,7
hastisc01,10:00,0,2,.000,0,0,,0,0,,1,1,2,0,0,0,2,1,0
liberma01,9:00,2,3,.667,0,0,,0,0,,2,2,4,1,0,0,1,1,4
cookan01,6:00,1,1,1.000,0,0,,0,0,,0,2,2,0,0,1,0,1,2
brookke01,5:00,0,2,.000,0,0,,0,0,,0,0,0,0,0,1,0,0,0
Team Totals,240,47,93,.505,1,3,.333,19,24,.792,15,29,44,24,6,4,24,32,114
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hornaje01,35:00,9,15,.600,0,2,.000,6,6,1.000,0,6,6,6,4,1,3,1,24
perryti01,33:00,6,10,.600,0,0,,7,10,.700,1,4,5,2,0,2,2,5,19
chambto01,27:00,9,16,.563,0,0,,5,7,.714,1,2,3,2,1,0,2,2,23
johnske02,27:00,6,9,.667,0,0,,10,14,.714,0,2,2,5,2,0,0,1,22
langan01,26:00,2,2,1.000,0,0,,0,0,,1,7,8,0,1,2,1,5,4
majerda01,27:00,5,14,.357,1,1,1.000,2,2,1.000,0,1,1,6,3,0,0,0,13
nealyed01,24:00,4,9,.444,1,2,.500,0,0,,2,7,9,0,0,0,0,2,9
knighne01,21:00,4,12,.333,0,0,,2,2,1.000,3,2,5,6,0,0,1,0,10
westma01,12:00,1,2,.500,0,0,,0,0,,0,1,1,0,0,0,1,5,2
cebalce01,8:00,3,3,1.000,0,0,,3,4,.750,0,0,0,0,0,0,0,1,9
Team Totals,240,49,92,.533,2,5,.400,35,45,.778,8,32,40,27,11,5,10,22,135
