Boston Celtics
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
birdla01,40:00,8,20,.400,0,4,.000,0,0,,2,7,9,10,0,0,1,4,16
lewisre01,36:00,11,21,.524,0,0,,0,0,,0,4,4,5,3,0,0,4,22
brownde01,34:00,8,18,.444,0,1,.000,2,3,.667,3,3,6,3,4,0,4,2,18
parisro01,28:00,7,12,.583,0,0,,1,1,1.000,5,4,9,1,1,1,2,2,15
gamblke01,18:00,0,3,.000,0,0,,0,0,,0,2,2,1,0,0,1,0,0
mchalke01,29:00,3,9,.333,0,0,,4,4,1.000,2,6,8,2,0,2,2,2,10
pincked01,19:00,3,5,.600,0,0,,2,2,1.000,1,7,8,0,0,0,0,1,8
foxri01,15:00,1,3,.333,0,0,,1,2,.500,1,1,2,1,1,0,0,4,3
douglsh01,14:00,0,2,.000,0,0,,3,4,.750,0,2,2,5,2,0,2,2,3
baglejo01,7:00,1,4,.250,0,0,,0,0,,0,0,0,4,1,0,0,0,2
Team Totals,240,42,97,.433,0,5,.000,13,16,.813,14,36,50,32,12,3,12,21,97
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
millere01,42:00,5,14,.357,4,8,.500,3,4,.750,1,4,5,5,1,1,1,0,17
persoch01,39:00,3,15,.200,1,6,.167,1,2,.500,0,1,1,3,1,2,3,1,8
willimi02,35:00,6,11,.545,0,1,.000,2,2,1.000,1,4,5,6,3,0,4,5,14
thompla01,17:00,2,8,.250,0,0,,1,2,.500,2,5,7,1,0,1,1,1,5
smitsri01,15:00,5,9,.556,0,0,,3,4,.750,1,2,3,0,0,1,0,2,13
schrede01,35:00,8,17,.471,1,1,1.000,5,6,.833,4,14,18,6,0,0,2,2,22
davisda01,28:00,3,7,.429,0,0,,2,2,1.000,6,5,11,0,0,1,1,2,8
mccloge01,15:00,2,5,.400,1,2,.500,1,2,.500,2,1,3,1,0,0,1,1,6
flemive01,13:00,3,4,.750,0,0,,2,2,1.000,0,1,1,1,1,0,0,1,8
willike03,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,37,90,.411,7,18,.389,20,26,.769,17,37,54,23,6,6,13,15,101
