Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ricegl01,41:00,7,18,.389,1,4,.250,4,7,.571,1,2,3,3,0,0,1,3,19
sallejo01,39:00,1,7,.143,0,0,,0,0,,5,4,9,7,2,2,7,2,2
burtowi01,36:00,6,9,.667,1,1,1.000,10,14,.714,2,6,8,0,1,2,5,3,23
seikaro01,31:00,4,10,.400,0,0,,8,14,.571,2,6,8,0,1,0,3,4,16
shawbr01,15:00,1,3,.333,0,1,.000,2,2,1.000,0,1,1,4,0,0,1,2,4
colesbi01,33:00,6,10,.600,0,1,.000,2,3,.667,1,2,3,4,2,0,2,4,14
edwarke01,19:00,7,10,.700,0,1,.000,3,4,.750,2,0,2,0,3,1,2,2,17
kesslal01,18:00,0,2,.000,0,0,,3,4,.750,1,4,5,1,0,0,2,2,3
askinke01,8:00,1,4,.250,0,1,.000,0,0,,1,1,2,0,0,0,0,1,2
Team Totals,240,33,73,.452,2,9,.222,32,48,.667,15,26,41,19,9,5,23,23,100
Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
scottde01,43:00,11,18,.611,4,5,.800,1,2,.500,0,1,1,3,1,1,3,3,27
anderni01,42:00,17,26,.654,3,6,.500,5,12,.417,2,6,8,6,5,0,3,4,42
onealsh01,32:00,4,8,.500,0,0,,4,7,.571,5,13,18,2,1,3,8,6,12
skilesc01,29:00,4,8,.500,0,1,.000,5,5,1.000,0,1,1,6,0,0,3,5,13
catlete01,11:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,0,1,2,2
turneje01,25:00,2,2,1.000,0,0,,1,2,.500,0,1,1,4,2,0,1,3,5
corchch01,19:00,2,3,.667,0,0,,1,1,1.000,0,1,1,5,2,0,2,2,5
bowiean01,18:00,2,4,.500,0,0,,0,0,,0,1,1,0,1,0,0,5,4
kitegr01,14:00,0,0,,0,0,,0,0,,0,4,4,0,0,0,1,4,0
royaldo01,5:00,0,2,.000,0,0,,0,0,,1,0,1,1,0,0,0,1,0
delebi01,2:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,2,1,0
Team Totals,240,43,73,.589,7,12,.583,17,29,.586,8,28,36,27,13,4,24,36,110
