Chicago Bulls
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
jordami01,46:00,14,28,.500,2,4,.500,2,2,1.000,3,9,12,8,1,0,2,5,32
pippesc01,40:00,8,12,.667,0,0,,0,0,,2,4,6,2,3,1,4,6,16
grantho01,26:00,6,16,.375,0,0,,1,3,.333,2,0,2,0,2,0,0,4,13
armstbj01,25:00,5,12,.417,0,1,.000,1,2,.500,0,0,0,3,1,0,1,2,11
cartwbi01,18:00,0,0,,0,0,,3,4,.750,0,0,0,3,0,0,1,4,3
willisc01,21:00,6,11,.545,0,0,,0,2,.000,6,2,8,0,2,1,3,2,12
paxsojo01,17:00,3,7,.429,1,2,.500,0,0,,1,1,2,5,0,0,0,1,7
perduwi01,15:00,3,5,.600,0,0,,5,6,.833,4,2,6,2,0,0,0,2,11
tucketr01,10:00,2,4,.500,1,2,.500,0,0,,0,0,0,0,0,0,0,1,5
kingst01,10:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,0,0,0
englijo01,6:00,1,2,.500,0,1,.000,0,0,,0,1,1,0,0,1,1,1,2
mccraro01,6:00,1,1,1.000,0,0,,0,0,,0,1,1,0,0,0,0,0,2
Team Totals,240,49,100,.490,4,10,.400,12,19,.632,18,21,39,24,9,3,12,28,114
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
wilkido01,44:00,9,22,.409,1,4,.250,23,23,1.000,2,1,3,5,4,0,2,1,42
willike02,42:00,15,20,.750,0,0,,1,1,1.000,2,14,16,3,1,1,4,4,31
blaylmo01,38:00,3,10,.300,1,2,.500,4,4,1.000,0,3,3,7,0,0,1,0,11
augmost01,37:00,7,10,.700,0,0,,8,8,1.000,2,2,4,0,0,0,4,2,22
koncajo01,22:00,2,2,1.000,0,0,,0,0,,1,1,2,2,1,1,0,3,4
keefead01,21:00,1,2,.500,0,0,,3,4,.750,0,3,3,2,0,0,2,2,5
grahapa01,11:00,2,4,.500,0,0,,0,0,,0,1,1,1,0,0,0,0,4
wileymo01,10:00,1,3,.333,0,2,.000,0,0,,1,1,2,1,2,0,0,0,2
ferredu01,8:00,1,1,1.000,0,0,,0,0,,1,0,1,1,0,1,2,1,2
rasmubl01,7:00,0,1,.000,0,0,,0,0,,1,0,1,0,0,0,0,2,0
Team Totals,240,41,75,.547,2,8,.250,39,40,.975,10,26,36,22,8,3,15,15,123
