Portland Trail Blazers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
kerseje01,39:00,9,18,.500,0,1,.000,3,3,1.000,1,5,6,2,3,0,0,3,21
willibu01,35:00,1,7,.143,0,0,,0,2,.000,7,4,11,2,0,0,0,5,2
portete01,34:00,5,20,.250,1,6,.167,2,2,1.000,2,4,6,5,2,0,2,3,13
drexlcl01,26:00,5,12,.417,0,1,.000,2,2,1.000,2,4,6,5,3,0,2,5,12
duckwke01,20:00,3,9,.333,0,0,,2,2,1.000,2,3,5,1,0,1,3,1,8
stricro02,34:00,10,17,.588,0,0,,3,3,1.000,4,1,5,3,3,0,2,1,23
robincl02,28:00,6,16,.375,0,1,.000,0,2,.000,3,1,4,1,0,4,2,2,12
eliema01,15:00,0,2,.000,0,0,,4,5,.800,1,0,1,2,0,0,0,1,4
bryanma01,9:00,0,1,.000,0,0,,1,2,.500,1,2,3,0,1,0,1,4,1
Team Totals,240,39,102,.382,1,9,.111,17,23,.739,23,24,47,21,12,5,12,25,96
Los Angeles Lakers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
greenac01,43:00,6,12,.500,0,0,,1,3,.333,2,11,13,1,1,0,2,2,13
threase01,37:00,10,16,.625,0,0,,2,2,1.000,0,3,3,4,0,0,3,3,22
divacvl01,33:00,5,14,.357,0,2,.000,5,6,.833,3,5,8,2,1,6,2,3,15
perkisa01,28:00,2,7,.286,0,0,,1,2,.500,2,7,9,2,0,1,1,2,5
worthja01,20:00,3,7,.429,0,1,.000,4,4,1.000,0,2,2,3,1,1,2,0,10
scottby01,21:00,5,9,.556,1,2,.500,3,4,.750,0,2,2,5,0,0,3,1,14
campbel01,19:00,3,8,.375,0,1,.000,0,0,,1,4,5,0,1,1,1,1,6
peelean01,15:00,0,1,.000,0,0,,0,0,,1,0,1,1,0,1,2,1,0
edwarja01,13:00,6,7,.857,0,0,,2,2,1.000,0,2,2,0,0,0,3,3,14
coopedu01,11:00,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,0,1,1,0
Team Totals,240,40,82,.488,1,7,.143,18,23,.783,9,36,45,20,4,10,20,17,99
