Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
jacksji01,40:00,8,23,.348,1,5,.200,0,0,,1,2,3,6,3,0,3,5,17
daviste01,37:00,9,17,.529,0,0,,4,6,.667,6,13,19,0,0,0,2,3,22
rooksse01,36:00,5,11,.455,0,0,,8,11,.727,4,6,10,4,1,1,1,2,18
harpede01,34:00,7,18,.389,2,4,.500,1,3,.333,0,2,2,6,1,0,2,3,17
cambrde01,21:00,0,4,.000,0,0,,0,0,,2,2,4,1,1,0,0,4,0
legleti01,21:00,3,7,.429,2,4,.500,0,0,,0,1,1,0,0,0,2,1,8
wileymo01,14:00,2,6,.333,2,5,.400,0,0,,1,2,3,5,1,0,0,2,6
howarbr01,14:00,1,7,.143,0,1,.000,0,0,,3,1,4,1,0,1,0,5,2
hodgedo01,13:00,0,3,.000,0,0,,0,0,,0,0,0,0,0,0,1,2,0
whitera01,10:00,1,3,.333,0,2,.000,2,2,1.000,0,2,2,0,1,0,2,2,4
Team Totals,240,36,99,.364,7,21,.333,15,22,.682,17,31,48,23,8,2,13,29,94
Golden State Warriors
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
sprewla01,35:00,7,12,.583,2,5,.400,10,11,.909,0,3,3,9,1,0,3,2,26
higgise01,34:00,4,12,.333,0,2,.000,5,6,.833,2,2,4,2,1,0,5,3,13
alexavi01,32:00,7,14,.500,0,1,.000,2,4,.500,3,11,14,0,0,2,2,2,16
owensbi01,23:00,3,10,.300,0,0,,0,0,,2,5,7,4,0,1,2,0,6
hillty01,23:00,0,4,.000,0,0,,0,0,,5,7,12,1,0,0,0,5,0
houstby01,31:00,4,10,.400,0,0,,4,5,.800,3,3,6,2,0,0,5,6,12
buechju01,22:00,2,6,.333,0,1,.000,0,0,,2,4,6,2,1,0,0,2,4
spencan01,21:00,4,7,.571,0,0,,4,6,.667,0,0,0,0,0,3,1,2,12
gatlich01,19:00,4,11,.364,0,0,,3,6,.500,3,5,8,1,0,4,2,4,11
Team Totals,240,35,86,.407,2,9,.222,28,38,.737,20,40,60,21,3,10,20,26,100
