Washington Bullets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
guglito01,41:00,5,10,.500,1,3,.333,3,3,1.000,0,7,7,7,2,2,5,2,14
chapmre01,40:00,12,18,.667,4,7,.571,2,2,1.000,0,0,0,2,1,0,3,3,30
macledo01,40:00,7,16,.438,0,0,,3,3,1.000,1,5,6,4,0,0,2,3,17
adamsmi01,38:00,9,11,.818,3,4,.750,2,2,1.000,0,1,1,7,7,0,2,1,23
duckwke01,27:00,3,7,.429,0,0,,0,0,,2,1,3,0,0,0,1,4,6
walkeke01,21:00,2,7,.286,0,0,,1,2,.500,2,4,6,2,0,0,0,3,5
butlemi02,10:00,0,3,.000,0,0,,2,2,1.000,1,1,2,2,1,0,0,1,2
pricebr01,9:00,1,3,.333,0,2,.000,0,0,,0,1,1,0,0,0,3,2,2
cheanca01,8:00,2,4,.500,0,0,,0,0,,1,0,1,0,0,0,2,1,4
smithla02,4:00,1,1,1.000,0,0,,1,2,.500,0,0,0,1,0,0,0,0,3
overtdo01,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
muresgh01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,43,81,.531,8,16,.500,14,16,.875,7,20,27,25,11,2,18,21,108
Atlanta Hawks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
blaylmo01,39:00,3,10,.300,0,3,.000,1,2,.500,0,2,2,9,3,0,6,2,7
augmost01,38:00,9,12,.750,0,0,,7,9,.778,0,3,3,2,2,2,1,4,25
willike02,37:00,6,11,.545,0,0,,3,6,.500,7,4,11,2,4,0,2,2,15
wilkido01,35:00,15,25,.600,4,6,.667,3,4,.750,4,4,8,2,1,0,3,1,37
koncajo01,19:00,0,1,.000,0,0,,2,2,1.000,2,5,7,2,0,4,1,2,2
langan01,28:00,8,12,.667,0,0,,1,2,.500,4,1,5,2,0,0,1,1,17
ehlocr01,21:00,6,9,.667,1,3,.333,0,0,,1,3,4,4,0,1,4,2,13
whatlen01,9:00,2,3,.667,0,0,,0,0,,0,3,3,3,1,0,0,2,4
ferredu01,7:00,1,1,1.000,0,0,,2,4,.500,1,0,1,0,0,0,0,0,4
keefead01,7:00,0,3,.000,0,0,,0,0,,1,1,2,0,0,0,0,0,0
Team Totals,240,50,87,.575,5,12,.417,19,29,.655,20,26,46,26,11,7,18,16,124
