Washington Bullets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
chapmre01,32:00,7,14,.500,1,4,.250,3,3,1.000,0,0,0,1,3,0,1,1,18
guglito01,31:00,7,13,.538,0,1,.000,0,3,.000,3,5,8,0,0,0,0,2,14
adamsmi01,29:00,5,14,.357,0,2,.000,2,2,1.000,0,1,1,5,0,0,2,2,12
duckwke01,20:00,1,5,.200,0,0,,3,5,.600,0,4,4,1,0,1,2,5,5
butlemi02,19:00,1,7,.143,0,0,,2,4,.500,3,3,6,1,2,0,0,1,4
walkeke01,27:00,4,9,.444,0,0,,4,4,1.000,3,6,9,0,0,3,0,2,12
cheanca01,27:00,4,11,.364,0,1,.000,3,6,.500,2,0,2,1,3,1,1,3,11
macledo01,18:00,0,6,.000,0,0,,2,2,1.000,3,5,8,0,0,0,1,3,2
stewala01,12:00,1,1,1.000,0,0,,1,2,.500,1,4,5,0,0,0,1,2,3
overtdo01,10:00,1,3,.333,0,0,,0,0,,0,1,1,0,2,0,2,2,2
pricebr01,9:00,1,3,.333,0,2,.000,0,0,,1,0,1,2,0,0,2,0,2
ellispe01,6:00,0,2,.000,0,0,,2,2,1.000,0,0,0,1,0,0,0,0,2
Team Totals,240,32,88,.364,1,10,.100,22,33,.667,16,29,45,12,10,5,12,23,87
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
workmha01,39:00,4,10,.400,1,1,1.000,0,0,,2,6,8,5,3,0,6,3,9
millere01,36:00,7,15,.467,4,10,.400,3,3,1.000,1,4,5,10,0,0,3,3,21
mckeyde01,35:00,4,8,.500,0,0,,2,2,1.000,2,7,9,7,2,0,1,4,10
davisda01,30:00,6,13,.462,0,0,,3,5,.600,5,7,12,2,0,2,2,2,15
smitsri01,27:00,7,12,.583,0,0,,8,8,1.000,2,5,7,1,0,1,4,3,22
scottby01,21:00,7,14,.500,2,3,.667,0,1,.000,0,0,0,1,2,0,1,4,16
davisan01,21:00,1,3,.333,0,1,.000,0,0,,1,5,6,1,0,2,1,2,2
willike03,17:00,3,6,.500,0,0,,2,2,1.000,1,4,5,0,0,1,1,2,8
mitchsa01,14:00,1,5,.200,0,0,,1,2,.500,0,3,3,0,0,0,0,2,3
Team Totals,240,40,86,.465,7,15,.467,19,23,.826,14,41,55,27,7,6,19,25,106
