Cleveland Cavaliers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
daughbr01,40:00,3,10,.300,0,0,,5,6,.833,3,10,13,1,0,0,2,4,11
williho01,40:00,4,9,.444,0,0,,2,2,1.000,4,4,8,2,2,1,4,3,10
wilkige01,34:00,8,15,.533,1,1,1.000,3,4,.750,1,5,6,1,1,1,2,3,20
pricema01,28:00,3,9,.333,1,3,.333,6,8,.750,0,0,0,7,1,0,3,1,13
phillbo01,9:00,3,7,.429,0,0,,0,0,,2,2,4,1,1,0,0,2,6
millsch01,26:00,3,6,.500,1,1,1.000,2,2,1.000,0,1,1,1,2,1,1,5,9
nancela01,24:00,7,11,.636,0,0,,6,8,.750,3,3,6,1,1,0,0,5,20
brandte01,20:00,2,5,.400,0,0,,0,0,,2,4,6,5,0,1,2,0,4
battljo01,14:00,3,7,.429,0,0,,0,0,,0,2,2,1,0,0,0,0,6
ferryda01,5:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,36,80,.450,3,6,.500,24,30,.800,15,31,46,20,8,4,14,24,99
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mckeyde01,40:00,7,11,.636,0,0,,4,6,.667,1,6,7,6,1,2,3,3,18
davisda01,40:00,5,10,.500,0,0,,5,5,1.000,6,7,13,2,0,4,0,2,15
millere01,37:00,10,12,.833,1,1,1.000,8,8,1.000,0,3,3,3,1,0,2,2,29
flemive01,35:00,6,14,.429,0,0,,4,4,1.000,0,5,5,12,0,0,2,3,16
smitsri01,28:00,7,14,.500,0,0,,1,1,1.000,0,3,3,0,1,0,0,6,15
davisan01,19:00,0,0,,0,0,,3,4,.750,0,4,4,0,2,0,2,1,3
scottby01,14:00,1,6,.167,0,0,,0,0,,0,0,0,1,1,0,1,0,2
workmha01,13:00,1,4,.250,0,0,,0,0,,0,0,0,2,0,0,0,2,2
sealyma01,10:00,0,5,.000,0,0,,2,2,1.000,2,0,2,2,1,1,2,1,2
willike03,4:00,1,2,.500,0,0,,0,0,,0,0,0,0,0,1,0,0,2
Team Totals,240,38,78,.487,1,1,1.000,27,30,.900,9,28,37,28,7,8,12,20,104
