Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
greenac01,46:00,6,14,.429,0,2,.000,4,6,.667,3,7,10,2,0,0,4,2,16
majerda01,45:00,12,21,.571,4,5,.800,5,6,.833,2,3,5,3,4,0,1,0,33
milleol01,41:00,5,10,.500,0,0,,2,3,.667,3,11,14,5,2,2,3,3,12
perryel01,27:00,5,7,.714,0,1,.000,0,0,,1,1,2,9,1,0,1,2,10
cebalce01,23:00,8,15,.533,0,2,.000,3,4,.750,4,2,6,1,0,0,1,4,19
johnsfr01,21:00,3,8,.375,0,0,,2,2,1.000,0,0,0,6,2,0,1,3,8
kleinjo01,15:00,3,5,.600,0,0,,0,0,,0,4,4,0,0,0,1,1,6
mustaje01,13:00,1,6,.167,0,0,,0,0,,1,3,4,1,0,0,2,0,2
courtjo01,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,1,0,2,0
westma01,4:00,1,3,.333,0,0,,0,0,,1,2,3,0,0,0,1,1,2
Team Totals,240,44,89,.494,4,10,.400,16,21,.762,15,33,48,27,9,3,15,18,108
Philadelphia 76ers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
hornaje01,45:00,3,11,.273,0,5,.000,2,3,.667,0,4,4,5,1,0,1,3,8
weathcl01,43:00,7,19,.368,0,0,,0,0,,2,5,7,2,0,2,2,0,14
barroda01,42:00,6,16,.375,1,8,.125,2,2,1.000,0,2,2,8,2,0,2,3,15
bradlsh01,32:00,10,16,.625,0,0,,5,6,.833,6,5,11,1,0,1,4,6,25
perryti01,13:00,1,3,.333,0,0,,0,0,,0,0,0,0,0,0,1,2,2
woolror01,36:00,10,19,.526,0,1,.000,4,4,1.000,4,4,8,3,0,5,1,3,24
leckner01,14:00,2,2,1.000,0,0,,2,2,1.000,1,2,3,1,0,0,0,3,6
grahagr01,9:00,3,4,.750,0,0,,0,0,,1,1,2,0,1,0,0,0,6
kiddwa01,5:00,1,1,1.000,0,0,,1,2,.500,1,1,2,0,0,0,0,1,3
malonmo01,1:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,43,91,.473,1,14,.071,16,19,.842,15,24,39,20,4,8,11,21,103
