Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
malonka01,41:00,7,22,.318,0,1,.000,5,10,.500,3,10,13,3,0,2,2,3,19
stockjo01,41:00,5,16,.313,0,2,.000,3,4,.750,2,3,5,10,5,0,5,3,13
spencfe01,40:00,6,11,.545,0,0,,2,6,.333,4,14,18,0,2,0,1,4,14
malonje01,37:00,6,17,.353,0,0,,0,0,,1,1,2,0,1,0,1,2,12
russebr01,18:00,2,3,.667,0,0,,3,4,.750,2,0,2,0,0,0,0,3,7
corbity01,27:00,4,10,.400,0,0,,3,4,.750,4,3,7,1,1,2,3,5,11
chambto01,18:00,1,6,.167,0,1,.000,3,4,.750,1,5,6,1,0,0,0,4,5
humphja01,15:00,0,6,.000,0,2,.000,0,0,,3,1,4,1,0,1,0,5,0
bondwa01,3:00,0,0,,0,0,,0,0,,0,0,0,0,1,0,1,1,0
Team Totals,240,31,91,.341,0,6,.000,19,32,.594,20,37,57,16,10,5,13,30,81
Sacramento Kings
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
simmoli01,42:00,7,12,.583,0,0,,4,4,1.000,3,10,13,2,1,1,4,2,18
richmmi01,41:00,6,22,.273,1,3,.333,14,15,.933,2,2,4,2,1,0,1,4,27
tisdawa01,35:00,2,7,.286,0,0,,9,12,.750,2,10,12,1,0,0,2,5,13
webbsp01,34:00,2,11,.182,0,1,.000,0,0,,0,3,3,4,1,0,3,2,4
chilcpe01,19:00,0,7,.000,0,1,.000,1,2,.500,1,4,5,2,3,1,1,3,1
wilsotr01,25:00,1,2,.500,0,0,,2,4,.500,3,1,4,1,1,0,2,0,4
williwa02,24:00,6,10,.600,1,1,1.000,1,6,.167,1,7,8,2,0,0,2,3,14
smithla02,15:00,3,7,.429,1,1,1.000,2,3,.667,0,0,0,2,1,0,0,2,9
peplomi01,5:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,2,0
Team Totals,240,27,78,.346,3,7,.429,33,46,.717,12,39,51,16,8,2,15,23,90
