Utah Jazz
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
malonka01,44:00,12,20,.600,0,1,.000,6,8,.750,1,5,6,0,4,0,1,3,30
stockjo01,41:00,7,9,.778,1,2,.500,3,3,1.000,0,1,1,20,5,0,6,4,18
humphja01,28:00,4,9,.444,0,0,,0,0,,0,1,1,1,0,0,2,3,8
spencfe01,20:00,2,4,.500,0,0,,5,6,.833,1,6,7,0,0,0,0,4,9
benoida01,9:00,0,2,.000,0,1,.000,0,0,,0,1,1,0,0,0,1,4,0
corbity01,39:00,5,13,.385,0,1,.000,1,2,.500,3,7,10,2,2,1,0,4,11
chambto01,32:00,7,15,.467,1,1,1.000,2,2,1.000,2,4,6,0,0,0,1,3,17
hornaje01,26:00,4,6,.667,0,1,.000,0,1,.000,0,2,2,5,4,1,2,4,8
bondwa01,1:00,1,1,1.000,0,0,,0,0,,0,0,0,0,0,0,0,0,2
Team Totals,240,42,79,.532,2,7,.286,17,22,.773,7,27,34,28,15,2,13,29,103
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
johnske02,39:00,6,16,.375,0,0,,9,12,.750,1,1,2,8,3,0,8,2,21
barklch01,38:00,8,14,.571,0,1,.000,3,4,.750,2,9,11,2,3,0,3,3,19
greenac01,34:00,2,4,.500,0,0,,6,10,.600,6,7,13,1,0,0,0,2,10
cebalce01,33:00,9,18,.500,0,0,,4,8,.500,4,5,9,1,0,0,2,4,22
kleinjo01,6:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,1,0
majerda01,39:00,2,8,.250,2,5,.400,2,4,.500,1,1,2,0,1,1,2,0,8
westma01,31:00,3,6,.500,0,0,,1,4,.250,5,6,11,0,1,3,1,4,7
aingeda01,18:00,2,8,.250,0,4,.000,1,1,1.000,1,0,1,4,0,0,2,3,5
johnsfr01,2:00,0,2,.000,0,1,.000,0,0,,1,0,1,0,0,0,0,0,0
Team Totals,240,32,77,.416,2,11,.182,26,43,.605,21,29,50,17,8,4,18,19,92
