Denver Nuggets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
stithbr01,32:00,3,9,.333,0,0,,5,6,.833,0,2,2,1,2,0,2,2,11
mutomdi01,31:00,3,5,.600,0,0,,1,2,.500,1,4,5,1,0,4,1,3,7
abdulma02,30:00,4,11,.364,0,0,,1,1,1.000,0,1,1,4,0,0,1,0,9
ellisla01,29:00,4,9,.444,0,0,,0,0,,0,8,8,0,1,0,2,4,8
willire01,24:00,4,8,.500,1,3,.333,1,2,.500,1,3,4,3,0,2,2,5,10
rogerro01,25:00,5,9,.556,0,3,.000,4,6,.667,2,2,4,1,1,1,3,3,14
packro01,21:00,3,9,.333,0,0,,5,8,.625,1,2,3,8,2,0,5,0,11
delebi01,20:00,1,6,.167,0,0,,1,3,.333,4,2,6,0,0,1,1,1,3
hammoto01,16:00,2,3,.667,0,0,,1,2,.500,1,3,4,0,1,0,2,3,5
brookke01,8:00,0,6,.000,0,1,.000,0,0,,1,1,2,0,0,2,0,0,0
randama01,4:00,1,2,.500,0,0,,0,0,,1,0,1,0,0,0,1,0,2
Team Totals,240,30,77,.390,1,7,.143,19,30,.633,12,28,40,18,7,10,20,21,80
Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
smithst01,38:00,6,14,.429,0,5,.000,0,0,,1,6,7,7,0,1,3,1,12
seikaro01,34:00,7,13,.538,0,0,,8,10,.800,5,5,10,4,0,2,1,5,22
longgr01,34:00,7,14,.500,0,0,,1,2,.500,4,4,8,2,4,0,0,2,15
shawbr01,34:00,3,11,.273,1,4,.250,2,2,1.000,2,7,9,5,3,0,3,3,9
ricegl01,32:00,10,18,.556,2,5,.400,4,4,1.000,0,3,3,1,3,1,1,3,26
sallejo01,18:00,1,1,1.000,0,0,,1,3,.333,0,3,3,1,0,0,2,2,3
burtowi01,16:00,3,10,.300,0,0,,1,1,1.000,2,3,5,1,2,0,2,2,7
minerha01,16:00,2,8,.250,0,0,,0,0,,4,0,4,3,0,1,1,2,4
geigema01,6:00,2,2,1.000,0,0,,0,0,,1,2,3,0,1,0,0,1,4
askinke01,4:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,1,0
kesslal01,4:00,0,0,,0,0,,0,0,,1,0,1,0,0,0,0,1,0
wileymo01,4:00,0,1,.000,0,1,.000,0,0,,0,0,0,0,0,0,1,1,0
Team Totals,240,41,92,.446,3,15,.200,17,22,.773,20,33,53,24,13,5,14,24,102
