New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
anderke01,34:00,2,8,.250,0,1,.000,1,6,.167,0,3,3,12,2,0,6,2,5
colemde01,31:00,6,12,.500,2,3,.667,1,5,.200,2,7,9,5,3,1,5,3,15
benjabe01,30:00,5,11,.455,0,0,,2,8,.250,1,7,8,3,1,0,1,2,12
brownpj01,28:00,2,2,1.000,0,0,,0,0,,2,5,7,1,1,1,1,5,4
edwarke01,21:00,5,10,.500,0,0,,5,6,.833,0,0,0,1,1,0,2,1,15
gilliar01,34:00,5,10,.500,0,0,,3,6,.500,1,6,7,2,1,1,3,3,13
newmajo01,27:00,5,9,.556,0,2,.000,8,13,.615,0,1,1,1,3,1,0,1,18
wesleda01,19:00,2,3,.667,2,2,1.000,0,0,,0,0,0,1,1,0,2,4,6
waltere01,11:00,2,5,.400,1,1,1.000,0,0,,2,0,2,2,2,0,1,0,5
mahorri01,5:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,1,0
Team Totals,240,34,70,.486,5,9,.556,20,44,.455,8,31,39,28,15,4,21,22,93
Phoenix Suns
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
johnske02,37:00,6,13,.462,0,0,,2,3,.667,2,1,3,11,3,0,3,2,14
barklch01,35:00,6,12,.500,0,1,.000,3,4,.750,2,13,15,8,4,0,3,3,15
majerda01,27:00,7,18,.389,2,8,.250,6,6,1.000,1,2,3,2,3,0,1,2,22
cebalce01,24:00,6,13,.462,0,1,.000,6,6,1.000,1,1,2,1,2,2,0,1,18
westma01,17:00,2,4,.500,0,0,,0,0,,2,4,6,0,0,1,2,2,4
greenac01,28:00,8,15,.533,0,0,,2,3,.667,3,10,13,1,0,1,1,4,18
milleol01,25:00,3,4,.750,0,0,,0,0,,1,2,3,5,5,4,6,3,6
aingeda01,22:00,1,5,.200,0,1,.000,0,0,,1,0,1,1,1,0,4,3,2
johnsfr01,11:00,0,2,.000,0,0,,0,0,,1,2,3,2,0,0,0,2,0
kleinjo01,10:00,2,3,.667,0,0,,0,0,,1,0,1,0,0,0,0,3,4
mackema01,4:00,1,1,1.000,0,0,,0,2,.000,0,1,1,0,0,0,0,1,2
Team Totals,240,42,90,.467,2,11,.182,19,24,.792,15,36,51,31,18,8,20,26,105
