New York Knicks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ewingpa01,39:00,15,25,.600,0,0,,3,6,.500,0,13,13,1,2,1,1,3,33
oaklech01,38:00,2,4,.500,0,0,,8,8,1.000,2,7,9,5,3,0,3,4,12
davishu01,25:00,4,8,.500,0,1,.000,3,3,1.000,0,1,1,5,0,0,1,4,11
bonnean01,24:00,4,6,.667,0,0,,0,0,,1,3,4,1,0,0,2,1,8
harpede01,19:00,3,6,.500,0,0,,1,2,.500,0,1,1,3,0,0,1,4,7
anthogr01,29:00,2,8,.250,0,3,.000,2,2,1.000,0,4,4,2,4,0,2,3,6
masonan01,25:00,3,4,.750,0,0,,2,2,1.000,2,2,4,1,0,0,3,5,8
blackro01,23:00,5,10,.500,2,3,.667,2,3,.667,1,0,1,2,0,0,2,5,14
smithch01,18:00,5,7,.714,0,0,,2,2,1.000,0,1,1,1,0,0,1,3,12
Team Totals,240,43,78,.551,2,7,.286,23,28,.821,6,32,38,21,9,1,16,32,111
Washington Bullets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
adamsmi01,39:00,6,11,.545,3,5,.600,5,6,.833,0,1,1,10,2,0,2,2,20
guglito01,39:00,7,14,.500,1,3,.333,2,3,.667,1,9,10,3,3,0,6,5,17
macledo01,36:00,8,14,.571,1,1,1.000,6,6,1.000,3,4,7,4,1,0,1,5,23
chapmre01,25:00,5,11,.455,0,1,.000,2,3,.667,1,0,1,0,1,0,2,0,12
duckwke01,17:00,2,8,.250,0,0,,0,0,,2,3,5,1,0,0,0,4,4
conloma01,25:00,2,4,.500,0,0,,0,1,.000,1,1,2,4,1,0,0,5,4
cheanca01,23:00,6,10,.600,0,0,,9,11,.818,2,2,4,1,0,0,1,3,21
walkeke01,14:00,2,4,.500,0,0,,0,0,,0,2,2,0,0,1,1,2,4
pricebr01,9:00,0,2,.000,0,1,.000,1,2,.500,0,0,0,0,0,0,1,1,1
butlemi02,7:00,0,1,.000,0,0,,0,2,.000,0,1,1,0,0,0,0,1,0
muresgh01,6:00,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,1,0
Team Totals,240,38,79,.481,5,11,.455,25,34,.735,10,24,34,23,8,1,14,29,106
