Orlando Magic
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
scottde01,44:00,5,15,.333,4,11,.364,1,1,1.000,0,1,1,3,2,0,3,5,15
anderni01,42:00,4,10,.400,2,5,.400,0,0,,1,3,4,3,1,0,1,2,10
hardaan01,39:00,8,14,.571,4,7,.571,9,11,.818,1,3,4,4,3,0,4,5,29
grantho01,39:00,5,8,.625,0,0,,1,2,.500,1,1,2,4,2,2,0,3,11
onealsh01,30:00,8,15,.533,0,0,,2,4,.500,3,3,6,4,0,3,4,4,18
turneje01,20:00,4,5,.800,2,2,1.000,0,0,,1,6,7,2,1,0,0,3,10
shawbr01,16:00,1,2,.500,1,1,1.000,0,0,,0,2,2,1,0,1,1,3,3
royaldo01,5:00,1,2,.500,0,0,,2,2,1.000,0,0,0,0,0,0,0,1,4
rollitr01,5:00,0,0,,0,0,,0,0,,0,0,0,0,0,0,1,5,0
Team Totals,240,36,71,.507,13,26,.500,15,20,.750,7,19,26,21,9,6,14,31,100
Indiana Pacers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
millere01,40:00,7,17,.412,3,10,.300,9,9,1.000,0,2,2,1,0,0,3,2,26
mckeyde01,40:00,8,12,.667,2,5,.400,4,4,1.000,2,1,3,4,0,0,2,5,22
jacksma01,38:00,2,8,.250,0,2,.000,5,6,.833,1,6,7,13,0,0,4,1,9
davisda01,36:00,4,6,.667,0,0,,4,7,.571,1,6,7,0,0,1,5,2,12
smitsri01,29:00,7,10,.700,0,0,,5,6,.833,2,2,4,3,0,0,1,5,19
davisan01,22:00,3,3,1.000,0,0,,3,5,.600,4,6,10,0,0,0,3,1,9
scottby01,18:00,1,4,.250,1,2,.500,1,2,.500,0,2,2,1,0,0,0,0,4
workmha01,12:00,1,2,.500,0,0,,2,2,1.000,0,1,1,1,0,0,1,0,4
mitchsa01,5:00,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,4,0
Team Totals,240,33,62,.532,6,19,.316,33,41,.805,10,28,38,23,0,1,19,20,105
