Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ricegl01,29:00,4,14,.286,0,3,.000,0,0,,0,2,2,2,1,0,3,2,8
willike02,28:00,5,13,.385,0,0,,4,5,.800,4,5,9,0,0,0,3,3,14
owensbi01,24:00,3,9,.333,0,0,,0,0,,3,0,3,2,2,0,2,1,6
geigema01,22:00,6,9,.667,0,0,,2,4,.500,6,2,8,0,1,0,1,5,14
colesbi01,21:00,2,5,.400,1,1,1.000,0,0,,1,0,1,5,2,0,0,2,5
reevekh01,27:00,4,8,.500,1,3,.333,6,8,.750,1,3,4,5,4,0,3,4,15
sallejo01,25:00,3,7,.429,0,0,,2,2,1.000,1,1,2,2,5,2,2,5,8
minerha01,24:00,8,13,.615,0,0,,3,3,1.000,2,6,8,1,0,1,1,3,19
lohaubr01,21:00,1,6,.167,0,3,.000,0,0,,1,1,2,1,0,0,1,0,2
gamblke01,19:00,3,6,.500,0,1,.000,0,1,.000,0,1,1,4,1,0,0,3,6
Team Totals,240,39,90,.433,2,11,.182,17,23,.739,19,21,40,22,16,3,16,28,97
Houston Rockets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
maxweve01,45:00,8,17,.471,4,13,.308,3,3,1.000,1,2,3,7,1,0,2,1,23
olajuha01,40:00,11,21,.524,0,1,.000,2,2,1.000,3,8,11,4,2,1,6,5,24
horryro01,40:00,7,9,.778,4,6,.667,3,4,.750,1,2,3,5,1,0,3,1,21
smithke01,36:00,6,10,.600,3,7,.429,10,11,.909,1,3,4,6,3,1,4,4,25
herreca01,33:00,2,5,.400,0,0,,7,7,1.000,1,4,5,1,0,1,0,4,11
thorpot01,15:00,2,3,.667,0,0,,0,2,.000,1,6,7,1,1,0,5,4,4
cassesa01,11:00,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,2,2,0
chilcpe01,9:00,0,1,.000,0,0,,0,0,,1,3,4,0,0,1,1,1,0
breauti01,8:00,0,1,.000,0,0,,0,0,,0,0,0,1,0,0,0,0,0
eliema01,3:00,0,2,.000,0,1,.000,0,0,,0,2,2,0,0,0,0,1,0
Team Totals,240,36,70,.514,11,29,.379,25,29,.862,9,30,39,26,8,4,23,23,108
