Miami Heat
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
ricegl01,44:00,4,11,.364,1,3,.333,0,0,,0,4,4,3,0,0,2,3,9
willike02,43:00,13,27,.481,0,0,,1,2,.500,6,9,15,3,1,1,2,3,27
owensbi01,39:00,10,14,.714,0,1,.000,1,3,.333,0,8,8,7,1,0,6,3,21
colesbi01,38:00,4,10,.400,0,0,,1,2,.500,0,4,4,9,1,0,2,3,9
sallejo01,38:00,2,4,.500,0,0,,2,2,1.000,0,4,4,0,1,2,1,5,6
lohaubr01,15:00,3,5,.600,1,3,.333,0,0,,0,2,2,0,0,0,0,2,7
reevekh01,13:00,2,3,.667,1,1,1.000,0,0,,0,0,0,2,3,0,3,2,5
minerha01,7:00,0,2,.000,0,0,,0,0,,0,1,1,1,0,0,1,0,0
gamblke01,3:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,1,0
Team Totals,240,38,77,.494,3,8,.375,5,9,.556,6,32,38,25,7,3,17,22,84
Dallas Mavericks
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
mashbja01,42:00,5,17,.294,1,7,.143,6,7,.857,2,7,9,4,2,0,4,3,17
jacksji01,39:00,6,22,.273,0,2,.000,3,4,.750,2,2,4,0,2,0,1,2,15
kiddja01,35:00,5,16,.313,0,4,.000,5,10,.500,4,6,10,4,1,0,2,1,15
willilo01,23:00,0,0,,0,0,,0,2,.000,3,2,5,4,0,1,2,3,0
jonespo01,17:00,1,4,.250,0,1,.000,0,0,,1,5,6,2,0,0,0,2,2
tarplro01,25:00,3,5,.600,0,0,,3,4,.750,2,5,7,1,0,0,4,1,9
harrilu01,15:00,4,7,.571,0,1,.000,1,1,1.000,2,1,3,2,0,0,1,0,9
smithdo03,15:00,3,8,.375,0,0,,1,2,.500,1,0,1,0,0,1,0,3,7
daviste01,14:00,1,2,.500,0,0,,1,2,.500,1,2,3,0,0,0,0,0,3
hodgedo01,8:00,0,2,.000,0,0,,0,0,,1,1,2,1,0,0,0,0,0
wileymo01,7:00,0,2,.000,0,2,.000,0,0,,0,1,1,1,1,0,1,0,0
Team Totals,240,28,85,.329,1,17,.059,20,32,.625,19,32,51,19,6,2,15,15,77
