New Jersey Nets
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
edwarke01,34:00,5,21,.238,0,6,.000,3,4,.750,0,1,1,2,1,0,2,2,13
gilliar01,28:00,6,11,.545,0,0,,3,4,.750,3,4,7,3,1,0,2,3,15
brownpj01,28:00,2,8,.250,0,0,,0,0,,2,2,4,0,0,1,1,5,4
childch01,15:00,3,5,.600,1,2,.500,0,0,,0,1,1,3,0,0,1,6,7
dareyi01,12:00,1,1,1.000,0,0,,1,1,1.000,1,3,4,0,0,0,1,6,3
anderke01,33:00,7,14,.500,2,4,.500,10,13,.769,0,4,4,5,1,0,3,2,26
obanned01,28:00,2,5,.400,0,0,,0,0,,0,1,1,2,0,0,2,2,4
willija01,27:00,4,8,.500,0,0,,1,2,.500,4,6,10,0,0,1,1,3,9
mahorri01,24:00,2,6,.333,0,0,,3,4,.750,2,3,5,1,0,0,2,4,7
waltere01,9:00,2,2,1.000,0,0,,0,0,,0,0,0,0,1,0,1,0,4
glassge01,2:00,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Team Totals,240,34,82,.415,3,12,.250,21,28,.750,12,25,37,16,4,2,16,33,92
Los Angeles Clippers
Players,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
vaughlo01,38:00,8,14,.571,0,0,,1,4,.250,2,6,8,2,2,1,0,1,17
delebi01,32:00,9,14,.643,0,1,.000,5,6,.833,5,7,12,2,1,1,3,4,23
barrybr01,24:00,3,5,.600,0,1,.000,5,7,.714,0,4,4,4,1,0,1,2,11
sealyma01,22:00,7,15,.467,1,3,.333,4,4,1.000,2,1,3,1,1,1,1,2,19
rogerro01,20:00,1,2,.500,0,1,.000,5,8,.625,1,0,1,2,0,0,0,5,7
murrala01,29:00,3,10,.300,0,0,,4,4,1.000,1,3,4,3,0,0,3,1,10
piatker01,26:00,6,11,.545,3,3,1.000,0,0,,3,2,5,0,0,0,1,3,15
deherte01,24:00,6,8,.750,1,1,1.000,6,8,.750,0,3,3,4,1,0,1,5,19
roberst01,10:00,1,1,1.000,0,0,,0,3,.000,0,4,4,0,0,0,1,3,2
outlabo01,8:00,0,0,,0,0,,2,4,.500,1,4,5,0,0,0,0,1,2
towerke01,5:00,0,0,,0,0,,0,0,,1,0,1,1,0,0,0,0,0
vandelo01,2:00,0,1,.000,0,1,.000,0,0,,0,1,1,1,0,0,0,0,0
Team Totals,240,44,81,.543,5,11,.455,32,48,.667,16,35,51,20,6,3,11,27,125
